outcome_id,system_id,decision_date,decision_taken,expected_5y_cost_eur,actual_5y_cost_proxy_eur,expected_risk_reduction,observed_risk_reduction,cost_variance_pct,outcome_quality,delay_months,vendor_pressure_outcome,lessons_learned
OUT00000033,SYS0009953,2024-11-29,Exit / Decommission,2342.19,2730.38,45,48.9,16.6,Strong,0,Reduced,Entitlement evidence improved negotiation position.
OUT00000034,SYS0000911,2022-05-06,Exit / Decommission,1136.17,1284.61,45,24.5,13.1,Strong,9,Reduced,Integration complexity was underestimated.
OUT00000035,SYS0005288,2022-10-06,Exit / Decommission,3920.64,5117.64,45,46.1,30.5,Good,0,Escalated,Dependency blast radius drove final sequencing.
OUT00000036,SYS0007629,2023-02-15,Exit / Decommission,612.07,665.61,45,53.5,8.7,Strong,11,Negotiated,Business owner alignment delayed execution.
OUT00000037,SYS0003778,2022-08-27,Exit / Decommission,3310.65,3434.92,45,47.9,3.8,Strong,0,Accepted,Vendor claim was partially valid.
OUT00000038,SYS0009468,2024-06-03,Exit / Decommission,7184.23,9232.41,45,42.0,28.5,Good,4,Delayed,Entitlement evidence improved negotiation position.
OUT00000039,SYS0009409,2024-07-03,Exit / Decommission,14766.23,16002.21,45,45.7,8.4,Strong,9,Negotiated,Compensating controls reduced upgrade urgency.
OUT00000040,SYS0001263,2022-05-30,Exit / Decommission,3940.71,3675.77,45,40.8,-6.7,Strong,0,Accepted,Business owner alignment delayed execution.
OUT00000041,SYS0008784,2025-05-18,Exit / Decommission,3882.59,4437.74,45,46.0,14.3,Strong,3,Reduced,Vendor claim was partially valid.
OUT00000042,SYS0006438,2024-11-06,Exit / Decommission,9977.89,12353.18,45,52.4,23.8,Good,2,Escalated,Business owner alignment delayed execution.
OUT00000043,SYS0005216,2026-02-12,Exit / Decommission,5748.71,5880.89,45,55.9,2.3,Strong,3,Accepted,Dependency blast radius drove final sequencing.
OUT00000044,SYS0000250,2026-05-30,Exit / Decommission,9937.39,10392.63,45,49.1,4.6,Strong,10,Escalated,Business owner alignment delayed execution.
OUT00000045,SYS0010587,2023-05-02,Exit / Decommission,4394.09,4545.17,45,40.2,3.4,Strong,5,Avoided,Dependency blast radius drove final sequencing.
OUT00000046,SYS0008207,2023-03-17,Exit / Decommission,6492.08,5833.98,45,42.2,-10.1,Strong,8,Negotiated,Compensating controls reduced upgrade urgency.
OUT00000047,SYS0004487,2025-02-12,Exit / Decommission,3948.17,3313.48,45,33.9,-16.1,Strong,0,Accepted,Compensating controls reduced upgrade urgency.
OUT00000048,SYS0007082,2022-12-14,Exit / Decommission,18133.61,18856.86,45,56.9,4.0,Strong,9,Avoided,Vendor claim was partially valid.
OUT00000049,SYS0000960,2025-07-03,Exit / Decommission,1265.77,1169.83,45,57.7,-7.6,Strong,0,Delayed,Compensating controls reduced upgrade urgency.
OUT00000050,SYS0011064,2023-04-08,Exit / Decommission,730.08,669.78,45,56.4,-8.3,Strong,1,Delayed,Business owner alignment delayed execution.
OUT00000051,SYS0001784,2023-11-21,Exit / Decommission,3525.0,3455.44,45,58.1,-2.0,Strong,5,Escalated,Compensating controls reduced upgrade urgency.
OUT00000052,SYS0010652,2023-01-01,Exit / Decommission,825.16,1219.54,45,34.7,47.8,Good,1,Accepted,Dependency blast radius drove final sequencing.
OUT00000053,SYS0004442,2024-02-12,Exit / Decommission,8623.19,9064.26,45,57.3,5.1,Strong,7,Reduced,Entitlement evidence improved negotiation position.
OUT00000054,SYS0009832,2022-06-01,Exit / Decommission,2327.04,2685.25,45,33.8,15.4,Good,0,Delayed,Business owner alignment delayed execution.
OUT00000055,SYS0003674,2025-01-08,Exit / Decommission,1732.56,1653.52,45,47.5,-4.6,Strong,4,Reduced,Compensating controls reduced upgrade urgency.
OUT00000056,SYS0007976,2024-03-13,Exit / Decommission,1975.15,1915.07,45,34.8,-3.0,Strong,0,Escalated,Dependency blast radius drove final sequencing.
OUT00000057,SYS0001615,2024-02-24,Exit / Decommission,1600.34,2049.54,45,24.2,28.1,Good,0,Avoided,Entitlement evidence improved negotiation position.
OUT00000058,SYS0006281,2023-12-17,Exit / Decommission,858.93,1137.66,45,46.7,32.5,Good,2,Delayed,Dependency blast radius drove final sequencing.
OUT00000059,SYS0005996,2024-07-06,Exit / Decommission,3553.26,4573.27,45,45.3,28.7,Strong,5,Avoided,Dependency blast radius drove final sequencing.
OUT00000060,SYS0011168,2025-03-14,Exit / Decommission,8563.43,8155.89,45,42.3,-4.8,Strong,1,Negotiated,Dependency blast radius drove final sequencing.
OUT00000061,SYS0000294,2022-06-08,Exit / Decommission,582.5,628.94,45,46.5,8.0,Strong,0,Avoided,Integration complexity was underestimated.
OUT00000062,SYS0006796,2026-05-09,Exit / Decommission,1573.24,1766.54,45,59.7,12.3,Strong,5,Avoided,Integration complexity was underestimated.
OUT00000063,SYS0000535,2024-12-29,Extend Independent Support,35283.39,36503.21,22,16.4,3.5,Strong,5,Negotiated,Business owner alignment delayed execution.
OUT00000064,SYS0000056,2022-10-07,Exit / Decommission,16903.58,21446.24,45,50.8,26.9,Strong,6,Avoided,Compensating controls reduced upgrade urgency.
OUT00000065,SYS0006371,2025-04-26,Exit / Decommission,2528.5,2847.43,45,39.4,12.6,Strong,6,Reduced,Integration complexity was underestimated.
OUT00000066,SYS0001302,2024-04-04,Exit / Decommission,3397.17,2390.19,45,42.7,-29.6,Good,5,Delayed,Vendor claim was partially valid.
OUT00000067,SYS0009605,2025-04-10,Exit / Decommission,3090.28,4430.97,45,58.4,43.4,Good,4,Negotiated,Business owner alignment delayed execution.
OUT00000068,SYS0004602,2023-05-02,Exit / Decommission,2034.58,2555.34,45,49.5,25.6,Good,0,Negotiated,Entitlement evidence improved negotiation position.
OUT00000069,SYS0005167,2026-03-11,Exit / Decommission,4768.02,4769.46,45,47.9,0.0,Strong,0,Avoided,Business owner alignment delayed execution.
OUT00000070,SYS0004557,2025-02-11,Exit / Decommission,1963.53,2090.83,45,49.2,6.5,Strong,0,Avoided,Vendor claim was partially valid.
OUT00000071,SYS0004245,2024-04-12,Exit / Decommission,35071.91,31188.61,45,54.8,-11.1,Strong,1,Delayed,Entitlement evidence improved negotiation position.
OUT00000072,SYS0003173,2023-02-16,Exit / Decommission,1797.27,1367.17,45,44.4,-23.9,Strong,16,Accepted,Integration complexity was underestimated.
OUT00000073,SYS0006187,2025-11-17,Exit / Decommission,1014.16,1606.5,45,41.7,58.4,Good,1,Negotiated,Integration complexity was underestimated.
OUT00000074,SYS0002934,2026-02-04,Exit / Decommission,5130.59,3987.77,45,43.5,-22.3,Strong,0,Negotiated,Compensating controls reduced upgrade urgency.
OUT00000075,SYS0004810,2023-07-31,Exit / Decommission,747.79,807.64,45,31.7,8.0,Strong,1,Reduced,Business owner alignment delayed execution.
OUT00000076,SYS0010797,2023-08-10,Exit / Decommission,14644.34,19208.65,45,58.1,31.2,Good,3,Negotiated,Vendor claim was partially valid.
OUT00000077,SYS0010442,2024-12-23,Exit / Decommission,7020.9,6121.43,45,50.9,-12.8,Strong,5,Reduced,Dependency blast radius drove final sequencing.
OUT00000078,SYS0004374,2023-12-22,Exit / Decommission,54396.91,67862.15,45,37.8,24.8,Good,0,Avoided,Compensating controls reduced upgrade urgency.
OUT00000079,SYS0004699,2022-11-18,Exit / Decommission,1918.68,1619.36,45,64.9,-15.6,Strong,0,Reduced,Compensating controls reduced upgrade urgency.
OUT00000080,SYS0002447,2025-09-15,Exit / Decommission,1605.19,1809.7,45,25.1,12.7,Good,0,Negotiated,Vendor claim was partially valid.
OUT00000081,SYS0001074,2024-09-17,Exit / Decommission,1520.12,1200.48,45,46.6,-21.0,Good,2,Accepted,Dependency blast radius drove final sequencing.
OUT00000082,SYS0009921,2023-11-23,Exit / Decommission,2063.31,2000.65,45,57.6,-3.0,Strong,11,Avoided,Dependency blast radius drove final sequencing.
OUT00000083,SYS0000015,2026-01-19,Exit / Decommission,1909.25,2324.0,45,41.5,21.7,Strong,11,Negotiated,Business owner alignment delayed execution.
OUT00000084,SYS0003377,2023-04-04,Exit / Decommission,5852.39,3863.74,45,38.2,-34.0,Good,11,Reduced,Entitlement evidence improved negotiation position.
OUT00000085,SYS0004059,2025-09-07,Exit / Decommission,1377.74,1511.66,45,52.4,9.7,Strong,6,Negotiated,Entitlement evidence improved negotiation position.
OUT00000086,SYS0009288,2022-05-12,Exit / Decommission,1086.41,1231.97,45,38.5,13.4,Strong,0,Reduced,Compensating controls reduced upgrade urgency.
OUT00000087,SYS0002449,2024-02-28,Exit / Decommission,395.01,384.6,45,50.1,-2.6,Strong,0,Accepted,Integration complexity was underestimated.
OUT00000088,SYS0009031,2022-09-24,Exit / Decommission,1308.2,1418.88,45,50.2,8.5,Strong,5,Escalated,Entitlement evidence improved negotiation position.
OUT00000089,SYS0008596,2026-01-06,Exit / Decommission,2217.91,2321.27,45,42.6,4.7,Strong,5,Accepted,Entitlement evidence improved negotiation position.
OUT00000090,SYS0002291,2023-02-18,Exit / Decommission,9899.34,6648.22,45,29.1,-32.8,Mixed,5,Avoided,Dependency blast radius drove final sequencing.
OUT00000091,SYS0001531,2023-05-31,Exit / Decommission,4511.85,5404.78,45,51.7,19.8,Strong,0,Delayed,Vendor claim was partially valid.
OUT00000092,SYS0002058,2025-05-06,Exit / Decommission,916.93,700.09,45,31.3,-23.6,Strong,0,Delayed,Vendor claim was partially valid.
OUT00000093,SYS0008045,2023-09-03,Exit / Decommission,1104.39,974.09,45,46.9,-11.8,Strong,2,Avoided,Integration complexity was underestimated.
OUT00000094,SYS0003821,2025-01-23,Exit / Decommission,16358.83,13158.78,45,26.6,-19.6,Strong,5,Delayed,Compensating controls reduced upgrade urgency.
OUT00000095,SYS0000335,2025-07-22,Exit / Decommission,2610.65,2789.6,45,48.9,6.9,Strong,0,Reduced,Integration complexity was underestimated.
OUT00000096,SYS0000366,2024-02-11,Exit / Decommission,7407.48,5989.41,45,44.2,-19.1,Strong,7,Avoided,Entitlement evidence improved negotiation position.
OUT00000097,SYS0004367,2025-05-10,Exit / Decommission,2329.68,2216.64,45,53.3,-4.9,Strong,1,Accepted,Dependency blast radius drove final sequencing.
OUT00000098,SYS0001513,2025-07-18,Exit / Decommission,1196.91,1283.91,45,53.7,7.3,Strong,2,Accepted,Business owner alignment delayed execution.
OUT00000099,SYS0007277,2023-04-03,Exit / Decommission,1996.04,1802.69,45,40.4,-9.7,Strong,1,Reduced,Business owner alignment delayed execution.
OUT00000100,SYS0000280,2023-03-01,Exit / Decommission,3333.53,2408.87,45,43.6,-27.7,Strong,9,Avoided,Integration complexity was underestimated.
OUT00000101,SYS0002415,2023-07-10,Exit / Decommission,1083.14,1283.5,45,36.1,18.5,Strong,0,Escalated,Business owner alignment delayed execution.
OUT00000102,SYS0005608,2022-09-28,Exit / Decommission,377.15,427.84,45,58.1,13.4,Strong,10,Negotiated,Vendor claim was partially valid.
OUT00000103,SYS0004249,2022-07-22,Exit / Decommission,8624.31,10061.53,45,62.2,16.7,Strong,7,Accepted,Dependency blast radius drove final sequencing.
OUT00000104,SYS0003428,2023-10-03,Exit / Decommission,6430.49,6990.24,45,46.9,8.7,Good,0,Negotiated,Business owner alignment delayed execution.
OUT00000105,SYS0002033,2023-09-17,Exit / Decommission,19619.82,11760.9,45,49.8,-40.1,Good,0,Avoided,Vendor claim was partially valid.
OUT00000106,SYS0003976,2025-05-19,Hybrid Transformation,26652.48,34013.53,34,45.3,27.6,Good,10,Negotiated,Entitlement evidence improved negotiation position.
OUT00000107,SYS0007216,2024-02-12,Exit / Decommission,2804.5,3707.4,45,33.7,32.2,Good,1,Accepted,Entitlement evidence improved negotiation position.
OUT00000108,SYS0011325,2025-04-27,Exit / Decommission,23250.74,28329.92,45,47.9,21.8,Strong,4,Avoided,Compensating controls reduced upgrade urgency.
OUT00000109,SYS0011104,2022-02-10,Exit / Decommission,4065.48,4298.08,45,54.5,5.7,Strong,4,Negotiated,Business owner alignment delayed execution.
OUT00000110,SYS0009745,2026-04-21,Exit / Decommission,1152.44,1072.35,45,42.1,-6.9,Strong,1,Negotiated,Business owner alignment delayed execution.
OUT00000111,SYS0003294,2024-07-06,Exit / Decommission,1656.82,1568.05,45,43.6,-5.4,Strong,5,Reduced,Vendor claim was partially valid.
OUT00000112,SYS0001399,2025-04-03,Exit / Decommission,2822.87,2974.19,45,37.8,5.4,Strong,4,Reduced,Business owner alignment delayed execution.
OUT00000113,SYS0004053,2023-08-27,Exit / Decommission,1807.31,1417.48,45,41.3,-21.6,Strong,4,Reduced,Integration complexity was underestimated.
OUT00000114,SYS0006703,2025-09-09,Extend Independent Support,428591.35,427244.12,22,11.0,-0.3,Strong,1,Reduced,Integration complexity was underestimated.
OUT00000115,SYS0009578,2024-09-19,Exit / Decommission,3625.61,3489.55,45,53.0,-3.8,Strong,7,Accepted,Dependency blast radius drove final sequencing.
OUT00000116,SYS0009554,2022-11-20,Exit / Decommission,2923.91,2313.46,45,43.5,-20.9,Strong,4,Avoided,Business owner alignment delayed execution.
OUT00000117,SYS0001120,2023-07-14,Exit / Decommission,5581.87,4219.36,45,38.9,-24.4,Strong,9,Negotiated,Entitlement evidence improved negotiation position.
OUT00000118,SYS0004840,2022-03-04,Exit / Decommission,5934.31,6812.76,45,48.7,14.8,Good,5,Accepted,Vendor claim was partially valid.
OUT00000119,SYS0002354,2025-05-19,Extend Independent Support,303981.04,336932.15,22,25.5,10.8,Good,0,Avoided,Entitlement evidence improved negotiation position.
OUT00000120,SYS0003952,2022-09-24,Exit / Decommission,1907.94,1631.77,45,55.7,-14.5,Strong,6,Reduced,Integration complexity was underestimated.
OUT00000121,SYS0007866,2025-12-10,Exit / Decommission,3572.74,4298.19,45,26.8,20.3,Good,10,Accepted,Business owner alignment delayed execution.
OUT00000122,SYS0003755,2025-06-27,Exit / Decommission,1584.69,1954.0,45,41.9,23.3,Good,0,Avoided,Entitlement evidence improved negotiation position.
OUT00000123,SYS0008851,2023-05-21,Exit / Decommission,2089.57,2901.47,45,47.2,38.9,Good,0,Delayed,Dependency blast radius drove final sequencing.
OUT00000124,SYS0005077,2023-11-02,Exit / Decommission,9304.13,8206.13,45,45.5,-11.8,Strong,1,Reduced,Vendor claim was partially valid.
OUT00000125,SYS0010225,2025-07-30,Exit / Decommission,5872.23,6672.69,45,35.3,13.6,Good,2,Reduced,Business owner alignment delayed execution.
OUT00000126,SYS0002968,2023-06-12,Exit / Decommission,3611.81,3781.72,45,44.1,4.7,Strong,3,Reduced,Dependency blast radius drove final sequencing.
OUT00000127,SYS0003860,2026-03-10,Exit / Decommission,1106.88,1314.44,45,36.3,18.8,Strong,2,Negotiated,Business owner alignment delayed execution.
OUT00000128,SYS0007210,2025-01-21,Exit / Decommission,3691.76,2996.17,45,51.0,-18.8,Strong,3,Avoided,Compensating controls reduced upgrade urgency.
OUT00000129,SYS0008872,2023-11-27,Exit / Decommission,2094.43,1744.06,45,39.7,-16.7,Strong,2,Reduced,Vendor claim was partially valid.
OUT00000130,SYS0009520,2023-12-02,Exit / Decommission,2257.34,2267.75,45,45.1,0.5,Strong,7,Accepted,Dependency blast radius drove final sequencing.
OUT00000131,SYS0010974,2026-06-28,Exit / Decommission,15146.44,15660.04,45,62.6,3.4,Strong,0,Negotiated,Integration complexity was underestimated.
OUT00000132,SYS0001505,2025-08-31,Exit / Decommission,10331.35,11690.49,45,42.7,13.2,Strong,1,Escalated,Vendor claim was partially valid.
OUT00000133,SYS0002438,2022-06-13,Exit / Decommission,4540.06,3603.79,45,42.7,-20.6,Good,0,Delayed,Compensating controls reduced upgrade urgency.
OUT00000134,SYS0000196,2026-06-10,Exit / Decommission,2428.79,2031.54,45,45.5,-16.4,Strong,5,Delayed,Business owner alignment delayed execution.
OUT00000135,SYS0002317,2022-04-26,Exit / Decommission,1188.73,1328.77,45,43.4,11.8,Strong,2,Avoided,Dependency blast radius drove final sequencing.
OUT00000136,SYS0001116,2023-12-01,Exit / Decommission,893.59,1121.84,45,42.6,25.5,Good,2,Negotiated,Integration complexity was underestimated.
OUT00000137,SYS0005348,2023-03-21,Exit / Decommission,17700.67,21382.6,45,70.0,20.8,Strong,2,Reduced,Compensating controls reduced upgrade urgency.
OUT00000138,SYS0002901,2024-02-27,Exit / Decommission,3939.68,4468.57,45,29.8,13.4,Strong,7,Delayed,Compensating controls reduced upgrade urgency.
OUT00000139,SYS0003618,2025-01-15,Exit / Decommission,12455.27,14986.52,45,39.8,20.3,Strong,7,Escalated,Compensating controls reduced upgrade urgency.
OUT00000140,SYS0011764,2024-05-16,Exit / Decommission,1241.66,1468.03,45,40.8,18.2,Strong,3,Delayed,Integration complexity was underestimated.
OUT00000141,SYS0009943,2023-02-23,Exit / Decommission,297.35,275.86,45,52.0,-7.2,Strong,0,Reduced,Integration complexity was underestimated.
OUT00000142,SYS0003895,2022-12-31,Exit / Decommission,2508.66,2211.43,45,37.0,-11.8,Strong,3,Delayed,Business owner alignment delayed execution.
OUT00000143,SYS0007444,2022-12-31,Exit / Decommission,963.21,1005.35,45,44.1,4.4,Good,4,Avoided,Vendor claim was partially valid.
OUT00000144,SYS0001438,2023-12-23,Exit / Decommission,2115.29,1702.24,45,54.4,-19.5,Good,4,Delayed,Entitlement evidence improved negotiation position.
OUT00000145,SYS0001810,2026-01-15,Exit / Decommission,3071.08,3367.45,45,57.6,9.7,Strong,3,Delayed,Business owner alignment delayed execution.
OUT00000146,SYS0001274,2024-11-25,Exit / Decommission,22854.57,23735.99,45,39.9,3.9,Strong,0,Escalated,Dependency blast radius drove final sequencing.
OUT00000147,SYS0000148,2024-07-06,Exit / Decommission,8070.81,6711.38,45,34.5,-16.8,Good,12,Reduced,Integration complexity was underestimated.
OUT00000148,SYS0009538,2022-04-09,Exit / Decommission,2161.0,2237.46,45,34.0,3.5,Strong,5,Escalated,Entitlement evidence improved negotiation position.
OUT00000149,SYS0004373,2024-08-25,Exit / Decommission,5850.38,5570.34,45,37.5,-4.8,Strong,0,Negotiated,Dependency blast radius drove final sequencing.
OUT00000150,SYS0006927,2026-03-28,Hybrid Transformation,305718.19,273127.99,34,44.8,-10.7,Strong,0,Reduced,Business owner alignment delayed execution.
OUT00000151,SYS0006935,2023-11-16,Exit / Decommission,3943.56,4212.63,45,45.8,6.8,Strong,0,Accepted,Entitlement evidence improved negotiation position.
OUT00000152,SYS0003085,2026-01-04,Exit / Decommission,792.03,644.63,45,38.9,-18.6,Good,1,Negotiated,Entitlement evidence improved negotiation position.
OUT00000153,SYS0005259,2025-02-19,Exit / Decommission,7153.12,5495.83,45,41.6,-23.2,Strong,9,Reduced,Integration complexity was underestimated.
OUT00000154,SYS0004373,2024-08-23,Exit / Decommission,5850.38,6517.05,45,63.6,11.4,Strong,0,Reduced,Business owner alignment delayed execution.
OUT00000155,SYS0001757,2023-08-20,Exit / Decommission,1920.83,2856.98,45,38.0,48.7,Mixed,3,Escalated,Entitlement evidence improved negotiation position.
OUT00000156,SYS0002634,2024-03-12,Exit / Decommission,5798.64,5960.08,45,44.5,2.8,Strong,2,Delayed,Compensating controls reduced upgrade urgency.
OUT00000157,SYS0005185,2026-05-09,Exit / Decommission,7395.39,6148.14,45,34.7,-16.9,Strong,1,Delayed,Business owner alignment delayed execution.
OUT00000158,SYS0000058,2024-04-04,Exit / Decommission,40710.78,32650.33,45,47.5,-19.8,Good,6,Reduced,Vendor claim was partially valid.
OUT00000159,SYS0008878,2024-09-16,Exit / Decommission,699.53,717.17,45,42.0,2.5,Strong,2,Negotiated,Vendor claim was partially valid.
OUT00000160,SYS0001205,2023-07-07,Exit / Decommission,1351.77,1096.97,45,56.5,-18.8,Strong,2,Negotiated,Entitlement evidence improved negotiation position.
OUT00000161,SYS0001794,2024-06-10,Exit / Decommission,13253.7,7261.85,45,41.3,-45.2,Good,3,Reduced,Vendor claim was partially valid.
OUT00000162,SYS0002777,2024-11-20,Exit / Decommission,1820.04,2521.17,45,46.1,38.5,Good,1,Negotiated,Integration complexity was underestimated.
OUT00000163,SYS0011894,2023-07-22,Extend Independent Support,118083.23,103066.54,22,21.3,-12.7,Good,9,Escalated,Vendor claim was partially valid.
OUT00000164,SYS0009418,2026-01-26,Exit / Decommission,9309.33,11886.35,45,51.0,27.7,Strong,12,Delayed,Vendor claim was partially valid.
OUT00000165,SYS0001164,2022-04-30,Exit / Decommission,2303.18,1885.52,45,44.7,-18.1,Good,2,Reduced,Business owner alignment delayed execution.
OUT00000166,SYS0000200,2025-07-16,Exit / Decommission,2054.32,2296.83,45,55.8,11.8,Strong,7,Accepted,Integration complexity was underestimated.
OUT00000167,SYS0001364,2024-01-11,Exit / Decommission,13365.1,10971.56,45,50.1,-17.9,Good,0,Accepted,Business owner alignment delayed execution.
OUT00000168,SYS0000018,2025-12-12,Exit / Decommission,8162.08,7315.07,45,39.1,-10.4,Strong,8,Accepted,Business owner alignment delayed execution.
OUT00000169,SYS0003684,2023-05-08,Exit / Decommission,16562.04,12579.3,45,40.2,-24.0,Strong,2,Escalated,Entitlement evidence improved negotiation position.
OUT00000170,SYS0002981,2025-06-12,Exit / Decommission,1356.73,1546.68,45,44.7,14.0,Good,0,Accepted,Entitlement evidence improved negotiation position.
OUT00000171,SYS0003347,2023-07-18,Exit / Decommission,3838.53,4501.7,45,31.7,17.3,Good,8,Delayed,Compensating controls reduced upgrade urgency.
OUT00000172,SYS0011789,2023-10-16,Exit / Decommission,1877.52,2165.95,45,50.4,15.4,Strong,0,Accepted,Compensating controls reduced upgrade urgency.
OUT00000173,SYS0000020,2022-11-12,Exit / Decommission,7913.84,9836.61,45,42.2,24.3,Good,4,Negotiated,Entitlement evidence improved negotiation position.
OUT00000174,SYS0000547,2025-10-10,Exit / Decommission,5368.97,4948.55,45,43.8,-7.8,Strong,8,Reduced,Dependency blast radius drove final sequencing.
OUT00000175,SYS0010940,2026-03-18,Exit / Decommission,974.77,932.84,45,70.0,-4.3,Strong,0,Reduced,Business owner alignment delayed execution.
OUT00000176,SYS0001122,2022-06-11,Exit / Decommission,372.53,410.01,45,70.0,10.1,Strong,1,Reduced,Entitlement evidence improved negotiation position.
OUT00000177,SYS0009045,2022-04-19,Exit / Decommission,1921.97,1683.74,45,39.1,-12.4,Good,3,Delayed,Vendor claim was partially valid.
OUT00000178,SYS0006522,2024-04-08,Exit / Decommission,2029.34,2526.9,45,45.9,24.5,Strong,7,Negotiated,Dependency blast radius drove final sequencing.
OUT00000179,SYS0007109,2025-04-21,Exit / Decommission,3423.74,4477.5,45,55.2,30.8,Good,6,Negotiated,Business owner alignment delayed execution.
OUT00000180,SYS0008427,2023-01-26,Extend Independent Support,60827.54,56125.32,22,31.8,-7.7,Strong,0,Escalated,Vendor claim was partially valid.
