application_id,system_id,application_name,application_category,architecture_pattern,primary_language,deployment_model,user_count,transaction_volume_daily,revenue_dependency_eur,business_owner,technical_owner,release_frequency,documentation_quality
APP0000050,SYS0000141,M&A-LEGACY-00141 App,Risk Engine,SOA,Go,Hybrid,7580,12988,33411411.78,Business Owner - M&A Office,M&A Office Platform Team,Quarterly,0.863
APP0000051,SYS0000142,COM-ECC-00142 App,Risk Engine,Microservices,Java,VM,3602,33459,12489751.54,Business Owner - Commercial Banking,Commercial Banking Platform Team,Weekly,0.432
APP0000052,SYS0000145,RET-TIVOLI-00145 App,Workflow,Event-driven,C#,Kubernetes,5103,4113,805165.35,Business Owner - Retail Banking,Retail Banking Platform Team,Ad-hoc,0.377
APP0000053,SYS0000148,RIS-TIVOLI-00148 App,ERP Module,Event-driven,Mixed,VM,876,68928,7061417.47,Business Owner - Risk,Risk Platform Team,Quarterly,0.367
APP0000054,SYS0000154,SEC-ECC-00154 App,Data Platform,Microservices,Java,VM,405,4039,4247041.38,Business Owner - Security,Security Platform Team,Semi-Annual,0.47
APP0000055,SYS0000156,PAY-ECC-00156 App,Risk Engine,SOA,Python,Bare Metal,335,909107,9241107.77,Business Owner - Payments,Payments Platform Team,Ad-hoc,0.542
APP0000056,SYS0000161,INS-BUSINESSOBJECTS-00161 App,Reporting,SOA,Python,Kubernetes,406,8067,32307017.64,Business Owner - Insurance,Insurance Platform Team,Quarterly,0.853
APP0000057,SYS0000162,RIS-FILENET-00162 App,Data Platform,Event-driven,ABAP,Hybrid,2260,16308,3599058.49,Business Owner - Risk,Risk Platform Team,Quarterly,0.085
APP0000058,SYS0000176,PAY-FILENET-00176 App,API Service,3-tier,Java,Hybrid,10013,3321,8535870.17,Business Owner - Payments,Payments Platform Team,Ad-hoc,0.53
APP0000059,SYS0000177,LEG-TIVOLI-00177 App,Core Processing,Monolith,Java,VM,3735,114416,15962030.23,Business Owner - Legal,Legal Platform Team,Ad-hoc,0.821
APP0000060,SYS0000178,RET-ECC-00178 App,AI-Native,Monolith,JavaScript,VM,4002,8033,10566840.3,Business Owner - Retail Banking,Retail Banking Platform Team,Semi-Annual,0.576
APP0000061,SYS0000179,M&A-TIVOLI-00179 App,Workflow,3-tier,Java,VM,767,419,2898099.05,Business Owner - M&A Office,M&A Office Platform Team,Monthly,0.849
APP0000062,SYS0000181,LEG-S4HANA-00181 App,Core Processing,Event-driven,ABAP,Bare Metal,795,41641,70927979.2,Business Owner - Legal,Legal Platform Team,Weekly,0.523
APP0000063,SYS0000182,SUP-FILENET-00182 App,Workflow,Batch,C#,Kubernetes,2040,243806,2768795.34,Business Owner - Supply Chain,Supply Chain Platform Team,Semi-Annual,0.722
APP0000064,SYS0000188,DAT-COGNOS-00188 App,API Service,3-tier,PL/SQL,Bare Metal,401,5999,29458758.56,Business Owner - Data & Analytics,Data & Analytics Platform Team,Quarterly,0.763
APP0000065,SYS0000195,LEG-FILENET-00195 App,Data Platform,Event-driven,ABAP,VM,7610,21729,3972385.3,Business Owner - Legal,Legal Platform Team,Quarterly,0.68
APP0000066,SYS0000197,HR-ECC-00197 App,AI-Native,3-tier,Java,Bare Metal,1138,5318,123951641.04,Business Owner - HR,HR Platform Team,Ad-hoc,0.947
APP0000067,SYS0000199,SUP-LEGACY-00199 App,API Service,3-tier,C#,Mainframe,773,7022,3788579.49,Business Owner - Supply Chain,Supply Chain Platform Team,Ad-hoc,0.486
APP0000068,SYS0000204,MAN-AI-NATIVE-00204 App,Reporting,Batch,JavaScript,VM,235,45348,1360019.44,Business Owner - Manufacturing,Manufacturing Platform Team,Semi-Annual,0.514
APP0000069,SYS0000205,M&A-CA-00205 App,Risk Engine,Monolith,ABAP,Mainframe,2360,63783,13513500.99,Business Owner - M&A Office,M&A Office Platform Team,Weekly,0.196
APP0000070,SYS0000208,FIN-TIVOLI-00208 App,Risk Engine,3-tier,Java,Hybrid,306,60640,40233570.88,Business Owner - Finance,Finance Platform Team,Ad-hoc,0.641
APP0000071,SYS0000210,M&A-S4HANA-00210 App,Data Platform,3-tier,Mixed,Hybrid,6276,6014,10803279.9,Business Owner - M&A Office,M&A Office Platform Team,Semi-Annual,0.302
APP0000072,SYS0000212,FIN-FILENET-00212 App,Risk Engine,Batch,Mixed,VM,2363,6699,1836051.63,Business Owner - Finance,Finance Platform Team,Weekly,0.417
APP0000073,SYS0000213,FIN-S4HANA-00213 App,ERP Module,3-tier,Java,VM,12105,5723,12207043.44,Business Owner - Finance,Finance Platform Team,Quarterly,0.369
APP0000074,SYS0000225,PAY-COGNOS-00225 App,Batch,Microservices,JavaScript,Mainframe,280,27919,15784569.87,Business Owner - Payments,Payments Platform Team,Semi-Annual,0.471
APP0000075,SYS0000236,INF-FILENET-00236 App,Workflow,3-tier,COBOL,Kubernetes,968,16848,2682561.53,Business Owner - Infrastructure,Infrastructure Platform Team,Semi-Annual,0.451
APP0000076,SYS0000240,LEG-FILENET-00240 App,Data Platform,Batch,Python,VM,48,18054,411873.03,Business Owner - Legal,Legal Platform Team,Quarterly,0.229
APP0000077,SYS0000248,HR-S4HANA-00248 App,AI-Native,3-tier,C#,Hybrid,895,182338,2777216.41,Business Owner - HR,HR Platform Team,Semi-Annual,0.457
APP0000078,SYS0000261,MAN-CA-00261 App,Risk Engine,3-tier,C#,Hybrid,1614,6461,30024576.86,Business Owner - Manufacturing,Manufacturing Platform Team,Monthly,0.62
APP0000079,SYS0000262,SEC-ECC-00262 App,AI-Native,SOA,Java,VM,2279,36085,3378247.72,Business Owner - Security,Security Platform Team,Semi-Annual,0.786
APP0000080,SYS0000263,MAN-FILENET-00263 App,Reporting,Microservices,Mixed,Hybrid,119,113947,15334455.57,Business Owner - Manufacturing,Manufacturing Platform Team,Ad-hoc,0.733
APP0000081,SYS0000265,HR-AI-NATIVE-00265 App,Data Platform,Batch,C#,Hybrid,711,3661,6473863.88,Business Owner - HR,HR Platform Team,Ad-hoc,0.399
APP0000082,SYS0000266,WEA-AI-NATIVE-00266 App,Data Platform,3-tier,Java,VM,987,7067,18951257.68,Business Owner - Wealth,Wealth Platform Team,Semi-Annual,0.521
APP0000083,SYS0000267,COM-FILENET-00267 App,API Service,3-tier,Python,Bare Metal,40716,36540,8909751.03,Business Owner - Commercial Banking,Commercial Banking Platform Team,Semi-Annual,0.303
APP0000084,SYS0000273,FIN-COGNOS-00273 App,Data Platform,AI-agentic workflow,Java,Kubernetes,125,36329,35472209.12,Business Owner - Finance,Finance Platform Team,Semi-Annual,0.479
APP0000085,SYS0000274,M&A-AI-NATIVE-00274 App,Workflow,Monolith,Python,VM,3146,9540,153574550.66,Business Owner - M&A Office,M&A Office Platform Team,Monthly,0.321
APP0000086,SYS0000281,WEA-FILENET-00281 App,API Service,Monolith,ABAP,VM,3959,5395,8114968.98,Business Owner - Wealth,Wealth Platform Team,Weekly,0.735
APP0000087,SYS0000282,SEC-COGNOS-00282 App,Batch,Event-driven,Java,Bare Metal,834,7046,75472409.89,Business Owner - Security,Security Platform Team,Monthly,0.138
APP0000088,SYS0000283,M&A-S4HANA-00283 App,Reporting,Event-driven,JavaScript,Kubernetes,487,51378,8622199.67,Business Owner - M&A Office,M&A Office Platform Team,Monthly,0.716
APP0000089,SYS0000286,SEC-FILENET-00286 App,ERP Module,Microservices,Java,VM,4059,2084,3239296.71,Business Owner - Security,Security Platform Team,Monthly,0.653
APP0000090,SYS0000289,INF-COGNOS-00289 App,Customer Portal,3-tier,Java,Hybrid,4251,1138,7943431.68,Business Owner - Infrastructure,Infrastructure Platform Team,Ad-hoc,0.734
APP0000091,SYS0000291,SEC-ECC-00291 App,API Service,Event-driven,C#,Bare Metal,321,15758,1645381.3,Business Owner - Security,Security Platform Team,Quarterly,0.421
APP0000092,SYS0000295,INS-CA-00295 App,Core Processing,Event-driven,Mixed,Kubernetes,3466,3484,5115865.74,Business Owner - Insurance,Insurance Platform Team,Weekly,0.57
APP0000093,SYS0000298,RIS-FILENET-00298 App,Customer Portal,SOA,C#,VM,1683,15951,2437792.27,Business Owner - Risk,Risk Platform Team,Quarterly,0.655
APP0000094,SYS0000300,FIN-COGNOS-00300 App,ERP Module,Microservices,JavaScript,VM,447,17573,16442679.93,Business Owner - Finance,Finance Platform Team,Ad-hoc,0.578
APP0000095,SYS0000303,INF-S4HANA-00303 App,AI-Native,Microservices,Python,Bare Metal,534,65801,1025278.81,Business Owner - Infrastructure,Infrastructure Platform Team,Monthly,0.572
APP0000096,SYS0000305,INF-ECC-00305 App,Customer Portal,AI-agentic workflow,JavaScript,VM,868,1298,5724173.76,Business Owner - Infrastructure,Infrastructure Platform Team,Quarterly,0.628
APP0000097,SYS0000306,CUS-AI-NATIVE-00306 App,Core Processing,Monolith,Java,Hybrid,649,20116,10053920.27,Business Owner - Customer Operations,Customer Operations Platform Team,Semi-Annual,0.692
APP0000098,SYS0000312,M&A-ECC-00312 App,Reporting,3-tier,Java,Managed PaaS,2043,19236,15939053.04,Business Owner - M&A Office,M&A Office Platform Team,Quarterly,0.722
APP0000099,SYS0000321,WEA-COGNOS-00321 App,ERP Module,SOA,Java,Mainframe,32224,811,6222251.41,Business Owner - Wealth,Wealth Platform Team,Semi-Annual,0.79
APP0000100,SYS0000323,HR-COGNOS-00323 App,Customer Portal,Event-driven,Python,Bare Metal,1481,14939,11168594.35,Business Owner - HR,HR Platform Team,Weekly,0.553
APP0000101,SYS0000332,RIS-FILENET-00332 App,API Service,3-tier,Go,VM,1247,27405,2059219.38,Business Owner - Risk,Risk Platform Team,Quarterly,0.244
APP0000102,SYS0000336,SEC-FILENET-00336 App,API Service,Event-driven,JavaScript,VM,1869,449,17387993.24,Business Owner - Security,Security Platform Team,Semi-Annual,0.602
APP0000103,SYS0000337,LEG-ECC-00337 App,Batch,Microservices,C#,Kubernetes,1287,2744,4663518.9,Business Owner - Legal,Legal Platform Team,Monthly,0.804
APP0000104,SYS0000341,M&A-TIVOLI-00341 App,API Service,3-tier,COBOL,Hybrid,2060,7491,7792904.27,Business Owner - M&A Office,M&A Office Platform Team,Quarterly,0.404
APP0000105,SYS0000342,DAT-BUSINESSOBJECTS-00342 App,Reporting,Monolith,COBOL,Managed PaaS,268,2575,6600383.63,Business Owner - Data & Analytics,Data & Analytics Platform Team,Monthly,0.766
APP0000106,SYS0000343,CUS-BUSINESSOBJECTS-00343 App,Core Processing,Monolith,Java,Kubernetes,105,29343,2640721.32,Business Owner - Customer Operations,Customer Operations Platform Team,Quarterly,0.296
APP0000107,SYS0000346,HR-COGNOS-00346 App,Risk Engine,Microservices,Python,VM,2228,11402,4782484.63,Business Owner - HR,HR Platform Team,Ad-hoc,0.502
APP0000108,SYS0000350,DIG-AI-NATIVE-00350 App,Batch,Batch,Python,Mainframe,3098,10950,5409443.65,Business Owner - Digital Channels,Digital Channels Platform Team,Monthly,0.379
APP0000109,SYS0000354,SUP-TIVOLI-00354 App,Workflow,3-tier,Python,Hybrid,816,3286,22993000.69,Business Owner - Supply Chain,Supply Chain Platform Team,Ad-hoc,0.496
APP0000110,SYS0000358,CUS-ECC-00358 App,Customer Portal,Monolith,Java,Mainframe,382,32191,7654953.15,Business Owner - Customer Operations,Customer Operations Platform Team,Semi-Annual,0.409
APP0000111,SYS0000361,LEG-FILENET-00361 App,AI-Native,SOA,Mixed,Mainframe,505,62042,9396193.73,Business Owner - Legal,Legal Platform Team,Quarterly,0.35
APP0000112,SYS0000362,COM-S4HANA-00362 App,Data Platform,SOA,COBOL,Mainframe,1028,12432,102012456.11,Business Owner - Commercial Banking,Commercial Banking Platform Team,Ad-hoc,0.385
APP0000113,SYS0000366,MAN-COGNOS-00366 App,API Service,Monolith,Java,VM,231,10485,135636172.73,Business Owner - Manufacturing,Manufacturing Platform Team,Weekly,0.589
APP0000114,SYS0000368,INF-CA-00368 App,Customer Portal,SOA,Java,Hybrid,553,1967,1541812.44,Business Owner - Infrastructure,Infrastructure Platform Team,Quarterly,0.62
APP0000115,SYS0000370,INS-AI-NATIVE-00370 App,Core Processing,Monolith,Java,Kubernetes,316,6159,2113556.77,Business Owner - Insurance,Insurance Platform Team,Quarterly,0.602
APP0000116,SYS0000371,INS-CA-00371 App,API Service,Monolith,Java,Kubernetes,1810,2671,8362049.73,Business Owner - Insurance,Insurance Platform Team,Ad-hoc,0.561
APP0000117,SYS0000373,RIS-CA-00373 App,Data Platform,Monolith,Go,Mainframe,1373,36236,7921145.28,Business Owner - Risk,Risk Platform Team,Weekly,0.765
APP0000118,SYS0000374,M&A-LEGACY-00374 App,ERP Module,3-tier,C#,VM,180,2063,5653499.76,Business Owner - M&A Office,M&A Office Platform Team,Ad-hoc,0.642
APP0000119,SYS0000376,WEA-CA-00376 App,ERP Module,AI-agentic workflow,JavaScript,Managed PaaS,11382,2092,5096830.15,Business Owner - Wealth,Wealth Platform Team,Semi-Annual,0.228
APP0000120,SYS0000381,M&A-BUSINESSOBJECTS-00381 App,API Service,SOA,COBOL,VM,714,5513,2813111.95,Business Owner - M&A Office,M&A Office Platform Team,Weekly,0.681
APP0000121,SYS0000391,RIS-ECC-00391 App,AI-Native,Monolith,ABAP,Managed PaaS,500,30681,7381904.44,Business Owner - Risk,Risk Platform Team,Semi-Annual,0.624
APP0000122,SYS0000396,CUS-COGNOS-00396 App,Customer Portal,3-tier,Java,Kubernetes,1956,33674,1114034.49,Business Owner - Customer Operations,Customer Operations Platform Team,Ad-hoc,0.596
APP0000123,SYS0000399,HR-LEGACY-00399 App,Customer Portal,3-tier,Java,Kubernetes,2453,1960,11251598.97,Business Owner - HR,HR Platform Team,Quarterly,0.702
APP0000124,SYS0000401,MAN-AI-NATIVE-00401 App,Reporting,Mainframe-linked,Python,VM,1110,24274,23700178.95,Business Owner - Manufacturing,Manufacturing Platform Team,Monthly,0.73
APP0000125,SYS0000408,SEC-ECC-00408 App,Core Processing,Event-driven,COBOL,Mainframe,1066,5682,2932869.61,Business Owner - Security,Security Platform Team,Semi-Annual,0.823
APP0000126,SYS0000409,DIG-BUSINESSOBJECTS-00409 App,Risk Engine,Monolith,Python,Managed PaaS,713,56211,11032426.25,Business Owner - Digital Channels,Digital Channels Platform Team,Quarterly,0.749
APP0000127,SYS0000410,INF-BUSINESSOBJECTS-00410 App,ERP Module,SOA,COBOL,VM,256,56574,35759679.03,Business Owner - Infrastructure,Infrastructure Platform Team,Quarterly,0.699
APP0000128,SYS0000412,CUS-ECC-00412 App,Data Platform,3-tier,Python,VM,302,5518,1963678.27,Business Owner - Customer Operations,Customer Operations Platform Team,Quarterly,0.553
APP0000129,SYS0000413,SEC-FILENET-00413 App,ERP Module,Monolith,C#,VM,2972,100297,12052152.07,Business Owner - Security,Security Platform Team,Ad-hoc,0.551
APP0000130,SYS0000414,SEC-AI-NATIVE-00414 App,Batch,SOA,Java,VM,192,139843,18925062.63,Business Owner - Security,Security Platform Team,Semi-Annual,0.526
APP0000131,SYS0000417,SUP-COGNOS-00417 App,Data Platform,SOA,Java,Hybrid,1458,4055,2334459.93,Business Owner - Supply Chain,Supply Chain Platform Team,Ad-hoc,0.774
APP0000132,SYS0000418,DAT-FILENET-00418 App,Risk Engine,Microservices,Python,Hybrid,131,12812,131189663.11,Business Owner - Data & Analytics,Data & Analytics Platform Team,Quarterly,0.771
APP0000133,SYS0000419,INS-S4HANA-00419 App,AI-Native,3-tier,PL/SQL,VM,582,201494,5380397.2,Business Owner - Insurance,Insurance Platform Team,Quarterly,0.146
APP0000134,SYS0000424,LEG-FILENET-00424 App,Workflow,3-tier,C#,Kubernetes,13647,33594,14181399.35,Business Owner - Legal,Legal Platform Team,Semi-Annual,0.528
APP0000135,SYS0000429,MAN-AI-NATIVE-00429 App,Core Processing,Mainframe-linked,ABAP,VM,1687,583,27993565.13,Business Owner - Manufacturing,Manufacturing Platform Team,Monthly,0.407
APP0000136,SYS0000433,LEG-S4HANA-00433 App,AI-Native,3-tier,Python,VM,1935,11770,2348288.34,Business Owner - Legal,Legal Platform Team,Weekly,0.281
APP0000137,SYS0000435,SEC-TIVOLI-00435 App,Data Platform,3-tier,C#,Hybrid,7631,1911,29585234.44,Business Owner - Security,Security Platform Team,Ad-hoc,0.402
APP0000138,SYS0000438,LEG-S4HANA-00438 App,API Service,Batch,Go,Kubernetes,167,10130,16789163.62,Business Owner - Legal,Legal Platform Team,Monthly,0.573
APP0000139,SYS0000439,WEA-FILENET-00439 App,Core Processing,3-tier,Java,Kubernetes,985,1175,92428671.88,Business Owner - Wealth,Wealth Platform Team,Weekly,0.621
APP0000140,SYS0000444,DAT-ECC-00444 App,Risk Engine,Event-driven,C#,Kubernetes,218,36114,24843553.76,Business Owner - Data & Analytics,Data & Analytics Platform Team,Quarterly,0.768
APP0000141,SYS0000447,M&A-LEGACY-00447 App,ERP Module,Event-driven,C#,Bare Metal,352,96248,21817899.83,Business Owner - M&A Office,M&A Office Platform Team,Ad-hoc,0.629
APP0000142,SYS0000449,SUP-CA-00449 App,Risk Engine,Mainframe-linked,PL/SQL,VM,3512,2061,9078261.55,Business Owner - Supply Chain,Supply Chain Platform Team,Semi-Annual,0.616
APP0000143,SYS0000460,LEG-COGNOS-00460 App,Core Processing,Monolith,Python,Managed PaaS,1754,1210,3909216.19,Business Owner - Legal,Legal Platform Team,Semi-Annual,0.479
APP0000144,SYS0000462,RET-COGNOS-00462 App,API Service,Mainframe-linked,Java,VM,612,41114,2057886.64,Business Owner - Retail Banking,Retail Banking Platform Team,Quarterly,0.542
APP0000145,SYS0000481,FIN-LEGACY-00481 App,Risk Engine,Monolith,ABAP,Mainframe,1707,2306,20319073.61,Business Owner - Finance,Finance Platform Team,Weekly,0.723
APP0000146,SYS0000482,RET-ECC-00482 App,Batch,Microservices,ABAP,Hybrid,3544,12303,4773170.4,Business Owner - Retail Banking,Retail Banking Platform Team,Quarterly,0.707
APP0000147,SYS0000485,CUS-BUSINESSOBJECTS-00485 App,Batch,Monolith,ABAP,Hybrid,211,13388,9637116.79,Business Owner - Customer Operations,Customer Operations Platform Team,Monthly,0.495
APP0000148,SYS0000487,INS-COGNOS-00487 App,ERP Module,3-tier,JavaScript,Kubernetes,136,17691,10072522.56,Business Owner - Insurance,Insurance Platform Team,Quarterly,0.527
APP0000149,SYS0000488,MAN-COGNOS-00488 App,Risk Engine,AI-agentic workflow,Go,Bare Metal,3951,8432,3156228.76,Business Owner - Manufacturing,Manufacturing Platform Team,Ad-hoc,0.353
