mapping_id,system_id,business_service_id,regulation,obligation,applicability,criticality,evidence_required,current_evidence_quality,compliance_exposure_score,audit_defensibility,jurisdiction
REG00000030,SYS0011980,BS000168,Operational Resilience,Impact tolerance,Indirect,Low,Impact tolerance evidence pack,77.1,0.0,Strong,Global
REG00000031,SYS0002099,BS000568,GDPR,Breach reporting,Evidence Only,Medium,Breach reporting evidence pack,89.9,11.3,Strong,US
REG00000032,SYS0008515,BS000198,DORA,ICT risk management,Direct,High,ICT risk management evidence pack,70.5,28.3,Strong,UK
REG00000033,SYS0007621,BS000255,NIS2,Incident reporting,Direct,Medium,Incident reporting evidence pack,15.3,59.4,Moderate,US
REG00000034,SYS0000541,BS000004,SOX,Access attestation,Watch,High,Access attestation evidence pack,33.5,38.6,Moderate,US
REG00000035,SYS0003703,BS000601,SOX,Change evidence,Evidence Only,High,Change evidence evidence pack,71.2,32.6,Strong,APAC
REG00000036,SYS0006303,BS000006,Operational Resilience,Service mapping,Watch,High,Service mapping evidence pack,67.1,37.2,Moderate,US
REG00000037,SYS0010813,BS000246,GDPR,Data protection controls,Indirect,High,Data protection controls evidence pack,56.7,18.3,Strong,EU
REG00000038,SYS0005831,BS000484,DORA,Operational resilience testing,Indirect,High,Operational resilience testing evidence pack,50.9,6.3,Strong,APAC
REG00000039,SYS0002787,BS000689,SOX,Access attestation,Direct,High,Access attestation evidence pack,64.9,32.6,Strong,US
REG00000040,SYS0008743,BS000524,SOX,Access attestation,Direct,Low,Access attestation evidence pack,56.7,10.8,Strong,EU
REG00000041,SYS0010423,BS000450,Internal Audit,Control evidence,Direct,Medium,Control evidence evidence pack,26.0,33.6,Strong,US
REG00000042,SYS0000538,BS000448,DORA,Third-party risk evidence,Indirect,High,Third-party risk evidence evidence pack,37.3,41.9,Moderate,EU
REG00000043,SYS0006292,BS000097,Internal Audit,Policy compliance,Evidence Only,Critical,Policy compliance evidence pack,80.2,34.2,Strong,Global
REG00000044,SYS0005039,BS000001,NIS2,Supply-chain security,Direct,Critical,Supply-chain security evidence pack,62.6,34.3,Strong,EU
REG00000045,SYS0002332,BS000258,NIS2,Cyber risk governance,Direct,Low,Cyber risk governance evidence pack,49.5,15.7,Strong,US
REG00000046,SYS0010027,BS000097,HIPAA,Business associate evidence,Watch,Medium,Business associate evidence evidence pack,80.9,1.0,Strong,EU
REG00000047,SYS0004187,BS000597,NIS2,Supply-chain security,Direct,High,Supply-chain security evidence pack,30.9,32.5,Strong,EU
REG00000048,SYS0011411,BS000641,GDPR,Processor evidence,Indirect,High,Processor evidence evidence pack,77.0,7.8,Strong,US
REG00000049,SYS0004481,BS000512,GDPR,Breach reporting,Indirect,High,Breach reporting evidence pack,59.3,32.9,Strong,US
REG00000050,SYS0011782,BS000440,PCI-DSS,Vulnerability management,Evidence Only,High,Vulnerability management evidence pack,18.6,32.3,Strong,APAC
REG00000051,SYS0001115,BS000679,Operational Resilience,Impact tolerance,Direct,High,Impact tolerance evidence pack,62.0,20.9,Strong,Global
REG00000052,SYS0011204,BS000392,DORA,Operational resilience testing,Evidence Only,High,Operational resilience testing evidence pack,20.8,36.0,Moderate,EU
REG00000053,SYS0010003,BS000255,GDPR,Data protection controls,Direct,Medium,Data protection controls evidence pack,76.3,29.3,Strong,US
REG00000054,SYS0009846,BS000082,NIS2,Incident reporting,Evidence Only,Critical,Incident reporting evidence pack,15.0,73.4,Weak,UK
REG00000055,SYS0001999,BS000625,NIS2,Incident reporting,Evidence Only,Medium,Incident reporting evidence pack,27.7,38.4,Moderate,US
REG00000056,SYS0009828,BS000423,PCI-DSS,Vulnerability management,Watch,High,Vulnerability management evidence pack,75.2,22.0,Strong,APAC
REG00000057,SYS0002781,BS000213,NIS2,Supply-chain security,Evidence Only,High,Supply-chain security evidence pack,56.8,22.3,Strong,US
REG00000058,SYS0002306,BS000055,GDPR,Breach reporting,Direct,Medium,Breach reporting evidence pack,79.0,34.1,Strong,Global
REG00000059,SYS0003971,BS000303,NIS2,Incident reporting,Watch,High,Incident reporting evidence pack,79.6,21.9,Strong,EU
REG00000060,SYS0001357,BS000559,GDPR,Data protection controls,Direct,Low,Data protection controls evidence pack,64.3,13.4,Strong,APAC
REG00000061,SYS0008797,BS000206,HIPAA,Business associate evidence,Watch,Medium,Business associate evidence evidence pack,12.7,40.4,Moderate,EU
REG00000062,SYS0006385,BS000630,PCI-DSS,Segmentation evidence,Indirect,High,Segmentation evidence evidence pack,34.0,37.8,Moderate,US
REG00000063,SYS0011714,BS000012,GDPR,Breach reporting,Direct,Medium,Breach reporting evidence pack,85.0,31.6,Strong,Global
REG00000064,SYS0007818,BS000591,DORA,Third-party risk evidence,Watch,High,Third-party risk evidence evidence pack,56.2,19.8,Strong,EU
REG00000065,SYS0005252,BS000572,NIS2,Supply-chain security,Indirect,Low,Supply-chain security evidence pack,72.2,9.7,Strong,EU
REG00000066,SYS0000702,BS000446,Operational Resilience,Service mapping,Indirect,High,Service mapping evidence pack,60.8,25.8,Strong,APAC
REG00000067,SYS0003322,BS000141,NIS2,Supply-chain security,Indirect,Medium,Supply-chain security evidence pack,56.9,33.6,Strong,EU
REG00000068,SYS0001746,BS000431,NIS2,Incident reporting,Indirect,High,Incident reporting evidence pack,78.0,27.2,Strong,UK
REG00000069,SYS0003991,BS000425,Operational Resilience,Impact tolerance,Indirect,High,Impact tolerance evidence pack,45.6,28.4,Strong,US
REG00000070,SYS0011218,BS000554,GDPR,Breach reporting,Evidence Only,Low,Breach reporting evidence pack,53.8,25.7,Strong,US
REG00000071,SYS0010211,BS000466,Operational Resilience,Impact tolerance,Indirect,High,Impact tolerance evidence pack,78.1,30.5,Strong,APAC
REG00000072,SYS0009495,BS000037,PCI-DSS,Segmentation evidence,Direct,High,Segmentation evidence evidence pack,39.1,26.1,Strong,US
REG00000073,SYS0005519,BS000131,Operational Resilience,Scenario testing,Direct,Medium,Scenario testing evidence pack,52.1,20.1,Strong,Global
REG00000074,SYS0000355,BS000273,GDPR,Data protection controls,Indirect,Medium,Data protection controls evidence pack,84.5,13.3,Strong,LATAM
REG00000075,SYS0003985,BS000304,HIPAA,Business associate evidence,Direct,Medium,Business associate evidence evidence pack,50.7,12.4,Strong,APAC
REG00000076,SYS0004331,BS000431,SOX,Change evidence,Evidence Only,High,Change evidence evidence pack,41.1,34.8,Strong,APAC
REG00000077,SYS0007555,BS000416,GDPR,Data protection controls,Evidence Only,Critical,Data protection controls evidence pack,91.7,24.3,Strong,UK
REG00000078,SYS0003217,BS000207,SOX,Access attestation,Evidence Only,Medium,Access attestation evidence pack,66.6,0.1,Strong,UK
REG00000079,SYS0011644,BS000132,GDPR,Breach reporting,Indirect,Critical,Breach reporting evidence pack,47.1,42.0,Moderate,Global
REG00000080,SYS0006837,BS000494,Operational Resilience,Service mapping,Watch,High,Service mapping evidence pack,12.3,33.6,Strong,EU
REG00000081,SYS0003213,BS000448,Operational Resilience,Service mapping,Indirect,Medium,Service mapping evidence pack,48.1,12.3,Strong,Global
REG00000082,SYS0007802,BS000086,PCI-DSS,Vulnerability management,Direct,Medium,Vulnerability management evidence pack,49.1,5.5,Strong,EU
REG00000083,SYS0007001,BS000461,GDPR,Data protection controls,Indirect,Low,Data protection controls evidence pack,81.8,3.3,Strong,APAC
REG00000084,SYS0011521,BS000515,DORA,Third-party risk evidence,Evidence Only,Critical,Third-party risk evidence evidence pack,57.3,22.6,Strong,EU
REG00000085,SYS0009296,BS000671,GDPR,Breach reporting,Direct,High,Breach reporting evidence pack,42.8,55.9,Moderate,US
REG00000086,SYS0010466,BS000334,NIS2,Cyber risk governance,Evidence Only,Medium,Cyber risk governance evidence pack,63.7,18.5,Strong,EU
REG00000087,SYS0007949,BS000525,DORA,Third-party risk evidence,Direct,High,Third-party risk evidence evidence pack,60.8,39.0,Moderate,APAC
REG00000088,SYS0004792,BS000552,HIPAA,Business associate evidence,Indirect,High,Business associate evidence evidence pack,51.8,38.8,Moderate,APAC
REG00000089,SYS0006076,BS000443,GDPR,Data protection controls,Direct,Medium,Data protection controls evidence pack,45.1,37.0,Moderate,EU
REG00000090,SYS0003040,BS000248,DORA,ICT risk management,Indirect,Medium,ICT risk management evidence pack,33.4,15.0,Strong,LATAM
REG00000091,SYS0011908,BS000168,Operational Resilience,Service mapping,Indirect,Medium,Service mapping evidence pack,85.9,5.9,Strong,EU
REG00000092,SYS0002932,BS000710,NIS2,Supply-chain security,Direct,Medium,Supply-chain security evidence pack,70.6,29.7,Strong,Global
REG00000093,SYS0006921,BS000112,Internal Audit,Control evidence,Direct,High,Control evidence evidence pack,80.8,20.5,Strong,LATAM
REG00000094,SYS0004200,BS000576,GDPR,Data protection controls,Direct,High,Data protection controls evidence pack,50.2,28.9,Strong,UK
REG00000095,SYS0007858,BS000314,HIPAA,Access logging,Evidence Only,High,Access logging evidence pack,43.0,49.8,Moderate,EU
REG00000096,SYS0011581,BS000407,DORA,Operational resilience testing,Evidence Only,Critical,Operational resilience testing evidence pack,56.4,30.6,Strong,EU
REG00000097,SYS0009408,BS000100,NIS2,Supply-chain security,Direct,High,Supply-chain security evidence pack,60.1,38.7,Moderate,US
REG00000098,SYS0004473,BS000439,SOX,Change evidence,Watch,Critical,Change evidence evidence pack,43.3,34.6,Strong,EU
REG00000099,SYS0006897,BS000477,NIS2,Supply-chain security,Evidence Only,High,Supply-chain security evidence pack,31.6,30.4,Strong,Global
REG00000100,SYS0004141,BS000319,PCI-DSS,Segmentation evidence,Direct,Critical,Segmentation evidence evidence pack,54.5,36.7,Moderate,EU
REG00000101,SYS0011959,BS000306,GDPR,Processor evidence,Indirect,Medium,Processor evidence evidence pack,66.0,6.4,Strong,UK
REG00000102,SYS0007014,BS000057,SOX,Change evidence,Direct,High,Change evidence evidence pack,36.0,51.7,Moderate,EU
REG00000103,SYS0001884,BS000515,HIPAA,Business associate evidence,Direct,High,Business associate evidence evidence pack,60.4,5.4,Strong,APAC
REG00000104,SYS0008127,BS000583,DORA,ICT risk management,Indirect,High,ICT risk management evidence pack,91.8,17.3,Strong,Global
REG00000105,SYS0005385,BS000327,NIS2,Incident reporting,Direct,Medium,Incident reporting evidence pack,86.8,23.9,Strong,APAC
REG00000106,SYS0011904,BS000328,NIS2,Cyber risk governance,Direct,High,Cyber risk governance evidence pack,51.3,15.6,Strong,EU
REG00000107,SYS0008061,BS000130,NIS2,Incident reporting,Indirect,Low,Incident reporting evidence pack,59.2,12.6,Strong,Global
REG00000108,SYS0003642,BS000165,GDPR,Data protection controls,Direct,Medium,Data protection controls evidence pack,31.9,25.7,Strong,APAC
REG00000109,SYS0011215,BS000525,Operational Resilience,Scenario testing,Evidence Only,High,Scenario testing evidence pack,46.6,55.0,Moderate,LATAM
REG00000110,SYS0011975,BS000465,DORA,Operational resilience testing,Indirect,High,Operational resilience testing evidence pack,65.4,20.8,Strong,EU
REG00000111,SYS0009134,BS000502,PCI-DSS,Segmentation evidence,Evidence Only,High,Segmentation evidence evidence pack,41.0,39.5,Moderate,US
REG00000112,SYS0011463,BS000261,DORA,Operational resilience testing,Direct,Medium,Operational resilience testing evidence pack,76.9,13.3,Strong,APAC
REG00000113,SYS0005188,BS000537,NIS2,Incident reporting,Direct,Medium,Incident reporting evidence pack,75.9,28.5,Strong,APAC
REG00000114,SYS0000693,BS000067,DORA,ICT risk management,Direct,Medium,ICT risk management evidence pack,86.5,0.8,Strong,EU
REG00000115,SYS0002980,BS000019,GDPR,Data protection controls,Indirect,Critical,Data protection controls evidence pack,48.5,44.9,Moderate,EU
REG00000116,SYS0003942,BS000388,GDPR,Data protection controls,Indirect,High,Data protection controls evidence pack,65.3,12.2,Strong,US
REG00000117,SYS0002225,BS000133,DORA,Operational resilience testing,Indirect,Low,Operational resilience testing evidence pack,39.2,0.0,Strong,LATAM
REG00000118,SYS0000414,BS000160,PCI-DSS,Cardholder data protection,Watch,High,Cardholder data protection evidence pack,46.2,18.6,Strong,LATAM
REG00000119,SYS0011062,BS000504,PCI-DSS,Segmentation evidence,Indirect,Critical,Segmentation evidence evidence pack,37.3,51.7,Moderate,UK
REG00000120,SYS0006270,BS000672,DORA,ICT risk management,Indirect,Critical,ICT risk management evidence pack,56.9,38.4,Moderate,EU
REG00000121,SYS0006682,BS000025,GDPR,Breach reporting,Direct,High,Breach reporting evidence pack,76.3,41.5,Moderate,APAC
REG00000122,SYS0006237,BS000315,HIPAA,Access logging,Watch,High,Access logging evidence pack,36.6,39.9,Moderate,UK
REG00000123,SYS0009676,BS000387,DORA,ICT risk management,Direct,High,ICT risk management evidence pack,48.4,42.4,Moderate,US
REG00000124,SYS0000574,BS000025,SOX,Financial reporting control,Evidence Only,Medium,Financial reporting control evidence pack,67.4,16.7,Strong,US
REG00000125,SYS0010195,BS000656,GDPR,Breach reporting,Direct,Medium,Breach reporting evidence pack,42.0,34.2,Strong,EU
REG00000126,SYS0007167,BS000597,GDPR,Processor evidence,Evidence Only,Medium,Processor evidence evidence pack,59.9,16.9,Strong,EU
REG00000127,SYS0009307,BS000313,DORA,Third-party risk evidence,Indirect,Medium,Third-party risk evidence evidence pack,74.2,0.0,Strong,Global
REG00000128,SYS0004861,BS000590,GDPR,Breach reporting,Direct,Critical,Breach reporting evidence pack,49.0,33.7,Strong,EU
REG00000129,SYS0005037,BS000626,NIS2,Cyber risk governance,Evidence Only,Low,Cyber risk governance evidence pack,57.2,37.4,Moderate,EU
REG00000130,SYS0008678,BS000590,DORA,Operational resilience testing,Evidence Only,Medium,Operational resilience testing evidence pack,63.9,36.8,Moderate,EU
REG00000131,SYS0004103,BS000101,Operational Resilience,Impact tolerance,Direct,Low,Impact tolerance evidence pack,68.6,0.0,Strong,US
REG00000132,SYS0003155,BS000360,Operational Resilience,Service mapping,Direct,High,Service mapping evidence pack,56.5,22.2,Strong,US
REG00000133,SYS0008148,BS000065,SOX,Financial reporting control,Evidence Only,Medium,Financial reporting control evidence pack,56.0,25.9,Strong,US
REG00000134,SYS0003521,BS000198,DORA,Third-party risk evidence,Indirect,High,Third-party risk evidence evidence pack,74.1,11.9,Strong,US
REG00000135,SYS0006077,BS000268,GDPR,Breach reporting,Indirect,High,Breach reporting evidence pack,19.1,21.9,Strong,EU
REG00000136,SYS0007211,BS000659,NIS2,Cyber risk governance,Direct,Medium,Cyber risk governance evidence pack,60.4,11.5,Strong,US
REG00000137,SYS0008387,BS000708,NIS2,Cyber risk governance,Direct,High,Cyber risk governance evidence pack,64.5,25.4,Strong,EU
REG00000138,SYS0005590,BS000290,PCI-DSS,Vulnerability management,Indirect,High,Vulnerability management evidence pack,67.5,39.4,Moderate,UK
REG00000139,SYS0010105,BS000187,DORA,Third-party risk evidence,Direct,Medium,Third-party risk evidence evidence pack,80.4,0.0,Strong,LATAM
REG00000140,SYS0005934,BS000024,NIS2,Incident reporting,Direct,Critical,Incident reporting evidence pack,60.3,23.7,Strong,US
REG00000141,SYS0006992,BS000496,DORA,ICT risk management,Indirect,High,ICT risk management evidence pack,57.9,18.5,Strong,EU
REG00000142,SYS0008406,BS000145,GDPR,Breach reporting,Evidence Only,High,Breach reporting evidence pack,66.1,38.6,Moderate,EU
REG00000143,SYS0007866,BS000544,SOX,Change evidence,Evidence Only,Medium,Change evidence evidence pack,50.8,4.7,Strong,EU
REG00000144,SYS0006870,BS000720,SOX,Change evidence,Direct,Medium,Change evidence evidence pack,82.0,11.3,Strong,APAC
REG00000145,SYS0000249,BS000270,Internal Audit,Risk acceptance,Watch,High,Risk acceptance evidence pack,24.2,42.7,Moderate,US
REG00000146,SYS0005649,BS000332,NIS2,Cyber risk governance,Indirect,High,Cyber risk governance evidence pack,71.2,37.3,Moderate,EU
REG00000147,SYS0000953,BS000544,PCI-DSS,Cardholder data protection,Direct,High,Cardholder data protection evidence pack,10.1,65.4,Weak,US
REG00000148,SYS0009931,BS000270,Internal Audit,Policy compliance,Indirect,Medium,Policy compliance evidence pack,58.1,27.9,Strong,EU
REG00000149,SYS0000199,BS000519,Operational Resilience,Scenario testing,Indirect,Low,Scenario testing evidence pack,23.2,11.3,Strong,UK
REG00000150,SYS0000230,BS000021,PCI-DSS,Segmentation evidence,Direct,Medium,Segmentation evidence evidence pack,52.8,16.5,Strong,EU
REG00000151,SYS0009580,BS000426,NIS2,Cyber risk governance,Direct,Low,Cyber risk governance evidence pack,77.4,18.7,Strong,EU
REG00000152,SYS0003713,BS000094,GDPR,Processor evidence,Direct,Low,Processor evidence evidence pack,40.8,31.3,Strong,EU
REG00000153,SYS0001126,BS000537,PCI-DSS,Cardholder data protection,Indirect,Low,Cardholder data protection evidence pack,79.9,0.8,Strong,Global
REG00000154,SYS0011704,BS000647,HIPAA,Access logging,Indirect,High,Access logging evidence pack,44.3,29.7,Strong,EU
REG00000155,SYS0003827,BS000038,NIS2,Incident reporting,Indirect,Low,Incident reporting evidence pack,52.1,11.1,Strong,EU
REG00000156,SYS0002799,BS000111,NIS2,Cyber risk governance,Direct,Medium,Cyber risk governance evidence pack,75.7,11.6,Strong,US
REG00000157,SYS0006552,BS000552,PCI-DSS,Vulnerability management,Direct,Low,Vulnerability management evidence pack,58.0,5.2,Strong,UK
REG00000158,SYS0009464,BS000354,DORA,ICT risk management,Indirect,High,ICT risk management evidence pack,64.3,5.8,Strong,APAC
REG00000159,SYS0009023,BS000097,PCI-DSS,Vulnerability management,Direct,High,Vulnerability management evidence pack,64.2,39.1,Moderate,EU
REG00000160,SYS0002819,BS000122,GDPR,Data protection controls,Indirect,High,Data protection controls evidence pack,58.3,43.1,Moderate,APAC
REG00000161,SYS0000935,BS000107,NIS2,Incident reporting,Indirect,High,Incident reporting evidence pack,60.5,11.4,Strong,US
REG00000162,SYS0011252,BS000489,HIPAA,Access logging,Direct,Medium,Access logging evidence pack,74.9,28.9,Strong,LATAM
REG00000163,SYS0009313,BS000234,NIS2,Supply-chain security,Indirect,High,Supply-chain security evidence pack,70.4,35.9,Moderate,EU
REG00000164,SYS0002150,BS000049,SOX,Financial reporting control,Direct,Medium,Financial reporting control evidence pack,60.6,26.5,Strong,Global
REG00000165,SYS0009392,BS000217,GDPR,Breach reporting,Direct,Low,Breach reporting evidence pack,74.9,28.7,Strong,EU
REG00000166,SYS0003470,BS000689,NIS2,Cyber risk governance,Watch,Medium,Cyber risk governance evidence pack,81.5,0.0,Strong,UK
REG00000167,SYS0000376,BS000119,Internal Audit,Control evidence,Indirect,Critical,Control evidence evidence pack,66.4,45.4,Moderate,LATAM
REG00000168,SYS0005917,BS000370,GDPR,Breach reporting,Evidence Only,Medium,Breach reporting evidence pack,38.8,32.9,Strong,US
REG00000169,SYS0000304,BS000518,GDPR,Processor evidence,Direct,Low,Processor evidence evidence pack,69.8,15.0,Strong,EU
REG00000170,SYS0007399,BS000549,SOX,Financial reporting control,Direct,High,Financial reporting control evidence pack,71.1,28.3,Strong,APAC
REG00000171,SYS0010843,BS000242,NIS2,Cyber risk governance,Direct,Medium,Cyber risk governance evidence pack,72.9,11.2,Strong,US
REG00000172,SYS0000692,BS000282,HIPAA,Business associate evidence,Indirect,High,Business associate evidence evidence pack,32.9,37.4,Moderate,US
REG00000173,SYS0011644,BS000132,GDPR,Data protection controls,Direct,Critical,Data protection controls evidence pack,46.3,53.4,Moderate,Global
REG00000174,SYS0005289,BS000232,GDPR,Processor evidence,Indirect,High,Processor evidence evidence pack,55.7,46.5,Moderate,EU
REG00000175,SYS0008912,BS000528,GDPR,Processor evidence,Evidence Only,Medium,Processor evidence evidence pack,45.9,28.9,Strong,US
REG00000176,SYS0010271,BS000591,Operational Resilience,Service mapping,Direct,Medium,Service mapping evidence pack,66.1,17.2,Strong,US
REG00000177,SYS0009476,BS000303,DORA,ICT risk management,Direct,Medium,ICT risk management evidence pack,39.7,22.6,Strong,Global
REG00000178,SYS0010016,BS000021,SOX,Change evidence,Evidence Only,Medium,Change evidence evidence pack,59.0,32.9,Strong,US
REG00000179,SYS0007302,BS000252,DORA,Third-party risk evidence,Direct,Low,Third-party risk evidence evidence pack,25.8,26.5,Strong,US
REG00000180,SYS0009733,BS000438,GDPR,Processor evidence,Watch,Critical,Processor evidence evidence pack,83.5,15.0,Strong,APAC
REG00000181,SYS0011451,BS000075,Internal Audit,Control evidence,Direct,Medium,Control evidence evidence pack,51.4,29.6,Strong,APAC
REG00000182,SYS0008647,BS000715,NIS2,Supply-chain security,Evidence Only,Critical,Supply-chain security evidence pack,66.3,20.7,Strong,UK
REG00000183,SYS0011965,BS000508,Internal Audit,Control evidence,Indirect,Medium,Control evidence evidence pack,54.9,14.7,Strong,EU
REG00000184,SYS0007405,BS000157,NIS2,Supply-chain security,Direct,Critical,Supply-chain security evidence pack,59.8,49.4,Moderate,EU
REG00000185,SYS0007473,BS000657,GDPR,Processor evidence,Indirect,Medium,Processor evidence evidence pack,35.3,26.5,Strong,EU
REG00000186,SYS0005574,BS000608,GDPR,Breach reporting,Direct,High,Breach reporting evidence pack,54.3,37.6,Moderate,US
REG00000187,SYS0011704,BS000647,SOX,Change evidence,Watch,High,Change evidence evidence pack,59.5,34.1,Strong,EU
REG00000188,SYS0005722,BS000133,GDPR,Processor evidence,Evidence Only,Low,Processor evidence evidence pack,53.4,0.0,Strong,UK
REG00000189,SYS0008922,BS000261,NIS2,Incident reporting,Direct,High,Incident reporting evidence pack,57.2,49.0,Moderate,US
REG00000190,SYS0007158,BS000188,PCI-DSS,Vulnerability management,Direct,Low,Vulnerability management evidence pack,42.6,0.0,Strong,US
REG00000191,SYS0002526,BS000099,GDPR,Breach reporting,Direct,Critical,Breach reporting evidence pack,62.0,41.8,Moderate,UK
REG00000192,SYS0000678,BS000620,DORA,Operational resilience testing,Direct,Critical,Operational resilience testing evidence pack,64.6,39.5,Moderate,UK
REG00000193,SYS0004641,BS000381,DORA,Operational resilience testing,Indirect,Critical,Operational resilience testing evidence pack,49.2,50.2,Moderate,EU
REG00000194,SYS0011308,BS000424,NIS2,Incident reporting,Evidence Only,Medium,Incident reporting evidence pack,58.3,30.7,Strong,UK
REG00000195,SYS0006801,BS000632,HIPAA,Access logging,Indirect,Medium,Access logging evidence pack,69.9,9.9,Strong,UK
REG00000196,SYS0007244,BS000556,GDPR,Breach reporting,Watch,Medium,Breach reporting evidence pack,38.6,24.0,Strong,Global
REG00000197,SYS0009568,BS000488,SOX,Change evidence,Evidence Only,High,Change evidence evidence pack,48.8,42.1,Moderate,LATAM
REG00000198,SYS0009621,BS000624,DORA,Operational resilience testing,Evidence Only,High,Operational resilience testing evidence pack,45.5,16.2,Strong,Global
REG00000199,SYS0008562,BS000650,NIS2,Supply-chain security,Direct,High,Supply-chain security evidence pack,60.3,9.2,Strong,LATAM
REG00000200,SYS0008173,BS000393,DORA,Third-party risk evidence,Direct,Low,Third-party risk evidence evidence pack,61.5,16.0,Strong,US
REG00000201,SYS0004005,BS000326,GDPR,Data protection controls,Indirect,Critical,Data protection controls evidence pack,39.1,44.1,Moderate,UK
REG00000202,SYS0008907,BS000057,PCI-DSS,Segmentation evidence,Indirect,High,Segmentation evidence evidence pack,74.2,21.0,Strong,UK
REG00000203,SYS0000152,BS000374,SOX,Access attestation,Indirect,Critical,Access attestation evidence pack,73.0,33.4,Strong,EU
REG00000204,SYS0004285,BS000259,NIS2,Incident reporting,Direct,Critical,Incident reporting evidence pack,35.9,41.3,Moderate,APAC
REG00000205,SYS0008098,BS000442,PCI-DSS,Cardholder data protection,Direct,High,Cardholder data protection evidence pack,57.1,15.9,Strong,APAC
REG00000206,SYS0004901,BS000199,PCI-DSS,Cardholder data protection,Indirect,High,Cardholder data protection evidence pack,89.2,18.1,Strong,EU
REG00000207,SYS0010462,BS000649,Operational Resilience,Scenario testing,Indirect,Low,Scenario testing evidence pack,58.4,0.0,Strong,Global
