system_id,system_name,asset_type,business_service_id,business_service_name,business_unit,vendor,product,product_family,version,environment,hosting_model,region,owner_team,criticality,internet_exposed,data_sensitivity,lifecycle_stage,support_status,security_risk,technical_debt,regulatory_exposure,annual_run_cost_eur,install_date,last_change_date,cmdb_confidence,duplicate_group_id,source_system
SYS0000012,HR-OPENSHIFT-00012,Platform,BS000275,Customer Identity Service 0275,HR,Red Hat,OpenShift,Container,3.11,Test,Private Cloud,LATAM,HR Platform Team,Low,True,Internal,Strategic,Unsupported,High,High,Critical,37836.61,2014-11-11,2023-02-08,0.772,,BMC
SYS0000013,DIG-AIX-00013,Platform,BS000446,Global Ledger Service 0446,Digital Channels,IBM,AIX,Operating System,7.1,Test,Public Cloud,UK,Digital Channels Platform Team,Medium,False,Confidential,Migrate,Unsupported,High,Medium,Low,51547.25,2024-01-04,2024-02-05,0.728,,Excel Upload
SYS0000014,M&A-ORACLE-00014,Database,BS000511,Critical Treasury Service 0511,M&A Office,Oracle,Oracle Database,Database,19c,Production,On-Prem,EU,M&A Office Platform Team,High,False,Confidential,Invest,Unsupported,Medium,High,Medium,1084552.89,2023-06-17,2025-06-19,0.925,,EA Repository
SYS0000015,SUP-CA-00015,Application,BS000185,Shared Reporting Service 0185,Supply Chain,Broadcom,CA Identity Manager,Identity,14.5,Test,On-Prem,LATAM,Supply Chain Platform Team,Medium,True,Confidential,Migrate,Supported,Medium,High,Medium,67791.16,2008-05-16,2024-03-21,0.303,,Excel Upload
SYS0000016,SUP-VSPHERE-00016,Platform,BS000124,Operational Identity Service 0124,Supply Chain,VMware,vSphere,Virtualisation,7.0,Production,Private Cloud,APAC,Supply Chain Platform Team,Low,False,Internal,Tolerate,Unsupported,Medium,Medium,Medium,52230.25,2020-10-04,2024-08-18,0.814,,ServiceNow
SYS0000017,FIN-AI-NATIVE-00017,Custom Application,BS000066,Operational Pricing Service 0066,Finance,Custom,AI-Native Application,Custom,v0,Production,On-Prem,US,Finance Platform Team,Medium,False,Internal,Strategic,Vendor Announced EOL,High,Low,High,80701.11,2021-05-06,2024-08-02,0.369,,ServiceNow
SYS0000018,LEG-VCENTER-00018,Platform,BS000358,Operational Billing Service 0358,Legal,VMware,vCenter,Virtualisation,6.7,Production,Private Cloud,US,Legal Platform Team,Low,False,Restricted,Strategic,Supported,High,High,Low,290201.03,2023-04-19,2026-02-06,0.821,,Excel Upload
SYS0000019,INF-AIX-00019,Platform,BS000668,Digital Risk Service 0668,Infrastructure,IBM,AIX,Operating System,7.3,Development,Public Cloud,EU,Infrastructure Platform Team,Medium,False,Internal,Tolerate,Unsupported,Medium,Medium,Critical,95378.24,2020-05-23,2025-02-23,0.767,,Excel Upload
SYS0000020,M&A-AI-NATIVE-00020,Custom Application,BS000691,Regulated Treasury Service 0691,M&A Office,Custom,AI-Native Application,Custom,v2,Pre-Production,Hybrid,APAC,M&A Office Platform Team,High,False,Internal,Strategic,Supported,High,Severe,High,303068.11,2012-05-15,2025-12-21,0.31,,Excel Upload
SYS0000021,M&A-WINDOWS-00021,Platform,BS000404,Regional Ledger Service 0404,M&A Office,Microsoft,Windows Server,Operating System,2019,Development,Public Cloud,LATAM,M&A Office Platform Team,Medium,False,Internal,Invest,Supported,Low,High,Medium,153303.3,2012-03-02,2024-02-16,0.588,,ServiceNow
SYS0000022,M&A-SQL-00022,Database,BS000383,Shared Fulfilment Service 0383,M&A Office,Microsoft,SQL Server,Database,2016,Pre-Production,On-Prem,US,M&A Office Platform Team,Medium,True,Confidential,Tolerate,Supported,High,Low,Medium,27043.83,2011-06-20,2023-02-28,0.651,DUP000245,ServiceNow
SYS0000023,PAY-WEBSPHERE-00023,Middleware,BS000363,Regulated Identity Service 0363,Payments,IBM,WebSphere Application Server,Middleware,Liberty 23,Development,On-Prem,LATAM,Payments Platform Team,Medium,False,Confidential,Strategic,Supported,Medium,Medium,Medium,417317.48,2012-02-03,2024-08-06,0.773,,EA Repository
SYS0000024,COM-MQ-00024,Middleware,BS000171,Shared Customer Service 0171,Commercial Banking,IBM,MQ,Integration,9.3,Production,Hybrid,US,Commercial Banking Platform Team,High,False,Confidential,Migrate,Supported,Medium,High,Low,214723.23,2009-03-10,2025-10-10,0.735,,Excel Upload
SYS0000025,RET-WEBLOGIC-00025,Middleware,BS000300,Regulated Settlement Service 0300,Retail Banking,Oracle,WebLogic,Middleware,14.1,Pre-Production,On-Prem,EU,Retail Banking Platform Team,Low,False,Confidential,Invest,Supported,Medium,Low,Medium,63402.71,2010-10-26,2025-10-24,0.807,,ServiceNow
SYS0000026,COM-FILENET-00026,Application,BS000674,Digital Workforce Service 0674,Commercial Banking,IBM,FileNet,Content,5.2,Production,On-Prem,EU,Commercial Banking Platform Team,Medium,False,Confidential,Invest,Extended Support,Medium,Medium,Medium,141346.15,2017-03-31,2023-05-17,0.353,,ServiceNow
SYS0000027,SUP-FILENET-00027,Application,BS000444,Shared Billing Service 0444,Supply Chain,IBM,FileNet,Content,5.5,Test,Hybrid,EU,Supply Chain Platform Team,Low,False,Restricted,Migrate,Unsupported,High,High,Medium,366235.48,2009-08-07,2025-11-08,0.749,,ServiceNow
SYS0000028,HR-RHEL-00028,Platform,BS000176,Digital Settlement Service 0176,HR,Red Hat,RHEL,Operating System,9,Pre-Production,On-Prem,Global,HR Platform Team,Low,False,Confidential,Invest,Supported,Medium,High,Low,34536.15,2023-03-11,2023-09-09,0.829,,ServiceNow
SYS0000029,M&A-VSPHERE-00029,Platform,BS000064,Global Workforce Service 0064,M&A Office,VMware,vSphere,Virtualisation,7.0,Production,Public Cloud,Global,M&A Office Platform Team,Medium,True,Internal,Strategic,Vendor Announced EOL,Medium,Low,Medium,110072.59,2023-03-13,2023-09-08,0.966,,BMC
SYS0000030,DAT-DB2-00030,Database,BS000541,Digital Ledger Service 0541,Data & Analytics,IBM,Db2,Database,12.1,Production,On-Prem,EU,Data & Analytics Platform Team,High,True,Internal,Invest,Unsupported,Medium,Medium,High,372286.22,2021-07-26,2024-10-05,0.442,,Archer
SYS0000031,SUP-WEBSPHERE-00031,Middleware,BS000651,Digital Data Service 0651,Supply Chain,IBM,WebSphere Application Server,Middleware,Liberty 24,Production,Public Cloud,UK,Supply Chain Platform Team,Low,True,Internal,Tolerate,Supported,Medium,Medium,Low,73830.4,2016-01-24,2026-03-28,0.088,,Archer
SYS0000032,MAN-ECC-00032,ERP Module,BS000079,Critical Workforce Service 0079,Manufacturing,SAP,ECC,ERP,6.0,Production,On-Prem,Global,Manufacturing Platform Team,Critical,False,Restricted,Migrate,Supported,Medium,Medium,Critical,967837.54,2010-03-30,2025-03-23,0.734,,Excel Upload
SYS0000033,FIN-ORACLE-00033,Database,BS000271,Operational Pricing Service 0271,Finance,Oracle,Oracle Database,Database,19c,Pre-Production,Hybrid,US,Finance Platform Team,Medium,True,Internal,Invest,Supported,Low,Medium,Medium,164561.38,2021-02-21,2025-07-17,0.144,DUP000124,Archer
SYS0000034,RIS-KAFKA-00034,Middleware,BS000614,Global Workforce Service 0614,Risk,Open Source,Kafka,Integration,3.4,Production,On-Prem,APAC,Risk Platform Team,High,False,Restricted,Invest,Supported,Medium,Medium,Critical,153932.32,2013-09-10,2023-06-12,0.616,,BMC
SYS0000035,SUP-DB2-00035,Database,BS000183,Global Pricing Service 0183,Supply Chain,IBM,Db2,Database,11.1,Development,On-Prem,EU,Supply Chain Platform Team,Medium,False,Restricted,Invest,Supported,Low,Medium,Medium,185221.91,2017-03-18,2025-05-23,0.838,,ServiceNow
SYS0000036,MAN-COGNOS-00036,Application,BS000131,Shared Reporting Service 0131,Manufacturing,IBM,Cognos Analytics,Analytics,11.2,Production,Hybrid,EU,Manufacturing Platform Team,Medium,False,Internal,Tolerate,Unsupported,Low,Medium,Medium,123093.41,2021-10-08,2026-05-06,0.883,,ServiceNow
SYS0000037,SUP-HANA-00037,Database,BS000284,Enterprise Ledger Service 0284,Supply Chain,SAP,HANA,Database,1.0,Test,Private Cloud,UK,Supply Chain Platform Team,High,False,Internal,Invest,Supported,Low,Medium,High,531081.76,2022-03-22,2023-12-17,0.817,,EA Repository
SYS0000038,SUP-VCENTER-00038,Platform,BS000284,Enterprise Ledger Service 0284,Supply Chain,VMware,vCenter,Virtualisation,7.0,Test,Private Cloud,US,Supply Chain Platform Team,Medium,False,Confidential,Migrate,Supported,Low,Low,Medium,182146.14,2017-03-27,2025-07-07,0.7,,ServiceNow
SYS0000039,M&A-S4HANA-00039,ERP Module,BS000347,Enterprise Payments Service 0347,M&A Office,SAP,S/4HANA,ERP,2021,Test,Private Cloud,Global,M&A Office Platform Team,Medium,False,Confidential,Tolerate,Supported,High,Severe,High,107452.32,2014-01-21,2024-02-19,0.702,,Archer
SYS0000040,WEA-AI-NATIVE-00040,Custom Application,BS000696,Critical Workforce Service 0696,Wealth,Custom,AI-Native Application,Custom,v1,Production,Private Cloud,APAC,Wealth Platform Team,High,False,Confidential,Tolerate,Supported,Low,Severe,High,82275.62,2022-06-07,2023-12-03,0.334,,ServiceNow
SYS0000041,SUP-BUSINESSOBJECTS-00041,Application,BS000701,Global Claims Service 0701,Supply Chain,SAP,BusinessObjects,Analytics,4.3,Production,Mainframe,UK,Supply Chain Platform Team,High,False,Internal,Retire,Supported,Critical,Medium,Low,253741.48,2018-07-03,2024-07-25,0.735,,Excel Upload
SYS0000042,INS-CA-00042,Application,BS000418,Shared Compliance Service 0418,Insurance,Broadcom,CA Identity Manager,Identity,14.5,Production,Public Cloud,UK,Insurance Platform Team,High,False,Public,Migrate,Supported,Low,Low,Medium,491693.08,2020-06-17,2023-08-21,0.502,,ServiceNow
SYS0000043,SUP-MAINFRAME-00043,Middleware,BS000055,Enterprise Fulfilment Service 0055,Supply Chain,Custom,Mainframe Integration Service,Integration,z/OS Connect,Pre-Production,Private Cloud,LATAM,Supply Chain Platform Team,Low,True,Confidential,Strategic,Extended Support,Medium,Medium,Critical,19583.01,2022-10-08,2024-06-15,0.739,,BMC
SYS0000044,DIG-DB2-00044,Database,BS000191,Enterprise Payments Service 0191,Digital Channels,IBM,Db2,Database,11.5,Production,On-Prem,US,Digital Channels Platform Team,High,False,Restricted,Tolerate,Supported,High,High,Critical,164518.08,2014-01-17,2024-02-18,0.756,,ServiceNow
SYS0000045,MAN-AI-NATIVE-00045,Custom Application,BS000131,Shared Reporting Service 0131,Manufacturing,Custom,AI-Native Application,Custom,v0,Production,Private Cloud,UK,Manufacturing Platform Team,High,True,Restricted,Migrate,Supported,Medium,High,Critical,140979.82,2015-11-04,2026-05-25,0.874,,ServiceNow
SYS0000046,COM-HANA-00046,Database,BS000001,Enterprise Reporting Service 0001,Commercial Banking,SAP,HANA,Database,2.0 SPS07,DR,Hybrid,EU,Commercial Banking Platform Team,High,False,Confidential,Migrate,Unsupported,Medium,High,Medium,510891.54,2020-08-01,2023-06-22,0.825,,ServiceNow
SYS0000047,SUP-HANA-00047,Database,BS000276,Digital Workforce Service 0276,Supply Chain,SAP,HANA,Database,2.0 SPS07,Test,On-Prem,US,Supply Chain Platform Team,Medium,False,Internal,Strategic,Unsupported,Medium,Medium,Medium,47703.12,2015-03-29,2025-08-31,0.567,DUP000311,ServiceNow
SYS0000048,HR-AI-NATIVE-00048,Custom Application,BS000005,Critical Data Service 0005,HR,Custom,AI-Native Application,Custom,v2,Production,On-Prem,EU,HR Platform Team,High,True,Internal,Tolerate,Vendor Announced EOL,Medium,High,Low,355668.09,2022-03-29,2023-07-27,0.893,,SAM Tool
SYS0000049,INS-HANA-00049,Database,BS000414,Regional Procurement Service 0414,Insurance,SAP,HANA,Database,2.0 SPS07,Production,On-Prem,UK,Insurance Platform Team,High,True,Internal,Strategic,Supported,Medium,Low,Critical,121220.7,2024-12-04,2023-11-02,0.591,,Excel Upload
SYS0000050,INS-ECC-00050,ERP Module,BS000198,Shared Customer Service 0198,Insurance,SAP,ECC,ERP,EHP8,Pre-Production,Public Cloud,APAC,Insurance Platform Team,Medium,False,Confidential,Invest,Unsupported,High,High,Medium,126040.08,2011-12-20,2023-11-06,0.809,,ServiceNow
SYS0000051,INS-TIVOLI-00051,Application,BS000522,Regulated Payments Service 0522,Insurance,IBM,Tivoli / Spectrum Protect,Operations,8.1.21,Development,Public Cloud,US,Insurance Platform Team,Low,True,Confidential,Strategic,Supported,Medium,Medium,Medium,121466.36,2020-08-13,2024-10-04,0.759,,EA Repository
SYS0000052,WEA-SQL-00052,Database,BS000380,Critical Treasury Service 0380,Wealth,Microsoft,SQL Server,Database,2019,Development,Public Cloud,EU,Wealth Platform Team,Low,False,Internal,Tolerate,Vendor Announced EOL,Medium,Low,High,148476.11,2010-07-30,2024-05-01,0.697,,ServiceNow
SYS0000053,INS-PIPO-00053,Middleware,BS000685,Core Fulfilment Service 0685,Insurance,SAP,PI/PO,Integration,7.5,Production,Hybrid,UK,Insurance Platform Team,Low,False,Internal,Strategic,Extended Support,Medium,High,High,180778.12,2020-03-22,2023-03-04,0.613,,ServiceNow
SYS0000054,INS-FILENET-00054,Application,BS000350,Core Payments Service 0350,Insurance,IBM,FileNet,Content,5.5,Development,Hybrid,UK,Insurance Platform Team,High,False,Confidential,Retire,Extended Support,Medium,Low,Critical,117436.56,2018-02-26,2026-04-16,0.493,,BMC
SYS0000055,MAN-WINDOWS-00055,Platform,BS000113,Shared Compliance Service 0113,Manufacturing,Microsoft,Windows Server,Operating System,2016,Production,Mainframe,EU,Manufacturing Platform Team,Medium,False,Internal,Strategic,Supported,Medium,Medium,Medium,33655.34,2025-09-18,2023-03-20,0.532,,BMC
SYS0000056,PAY-WEBLOGIC-00056,Middleware,BS000664,Digital Risk Service 0664,Payments,Oracle,WebLogic,Middleware,14.1,Production,Private Cloud,EU,Payments Platform Team,Medium,False,Restricted,Invest,Vendor Announced EOL,Medium,Medium,Medium,572121.41,2022-05-15,2025-06-17,0.828,,ServiceNow
SYS0000057,DIG-NSX-00057,Platform,BS000223,Enterprise Claims Service 0223,Digital Channels,VMware,NSX,Network,3.2,Production,On-Prem,US,Digital Channels Platform Team,Critical,False,Internal,Strategic,Unsupported,Critical,Medium,Medium,94662.19,2018-04-02,2023-05-06,0.36,,Excel Upload
SYS0000058,SEC-WEBSPHERE-00058,Middleware,BS000551,Customer Payments Service 0551,Security,IBM,WebSphere Application Server,Middleware,Liberty 23,Production,Private Cloud,UK,Security Platform Team,Critical,False,Restricted,Strategic,Vendor Announced EOL,Medium,Medium,High,1388593.49,2020-10-06,2023-07-20,0.862,,ServiceNow
SYS0000059,PAY-ECC-00059,ERP Module,BS000564,Core Pricing Service 0564,Payments,SAP,ECC,ERP,EHP8,Production,Hybrid,US,Payments Platform Team,Medium,True,Internal,Strategic,Extended Support,Low,Medium,Medium,279015.67,2009-07-04,2026-01-20,0.804,,EA Repository
SYS0000060,DIG-WEBSPHERE-00060,Middleware,BS000666,Core Warehouse Service 0666,Digital Channels,IBM,WebSphere Application Server,Middleware,8.5.5,Production,Private Cloud,US,Digital Channels Platform Team,Medium,False,Confidential,Strategic,Supported,Medium,Severe,Low,227854.79,2015-01-24,2024-10-24,0.06,,ServiceNow
SYS0000061,DAT-DB2-00061,Database,BS000461,Regulated Data Service 0461,Data & Analytics,IBM,Db2,Database,12.1,Production,Private Cloud,Global,Data & Analytics Platform Team,Medium,False,Restricted,Invest,Vendor Announced EOL,Critical,Low,Low,203302.56,2016-11-14,2026-04-21,0.762,,Archer
SYS0000062,RET-ECC-00062,ERP Module,BS000369,Operational Customer Service 0369,Retail Banking,SAP,ECC,ERP,EHP7,Production,Public Cloud,US,Retail Banking Platform Team,Medium,False,Internal,Invest,Supported,Medium,Medium,Low,56957.49,2022-10-17,2023-10-29,0.705,,EA Repository
SYS0000063,SEC-DB2-00063,Database,BS000278,Regional Ledger Service 0278,Security,IBM,Db2,Database,12.1,DR,On-Prem,APAC,Security Platform Team,Medium,False,Confidential,Tolerate,Supported,Low,Medium,Medium,81777.0,2025-07-03,2025-12-06,0.944,,ServiceNow
SYS0000064,COM-TIVOLI-00064,Application,BS000322,Customer Claims Service 0322,Commercial Banking,IBM,Tivoli / Spectrum Protect,Operations,7.1,Test,Public Cloud,Global,Commercial Banking Platform Team,Low,True,Internal,Retire,Supported,Low,High,High,292845.42,2020-01-24,2025-10-29,0.425,,ServiceNow
SYS0000065,RET-SQL-00065,Database,BS000562,Regulated Payments Service 0562,Retail Banking,Microsoft,SQL Server,Database,2012,Test,Public Cloud,UK,Retail Banking Platform Team,High,False,Internal,Tolerate,Extended Support,Medium,High,Critical,44881.72,2009-08-14,2023-02-03,0.816,DUP000056,BMC
SYS0000066,INS-VSPHERE-00066,Platform,BS000408,Enterprise Trading Service 0408,Insurance,VMware,vSphere,Virtualisation,8.0,Development,Mainframe,EU,Insurance Platform Team,Medium,False,Internal,Migrate,Supported,Medium,Medium,Medium,344819.9,2025-01-22,2025-08-18,0.176,,ServiceNow
SYS0000067,COM-MAINFRAME-00067,Middleware,BS000036,Global Payments Service 0036,Commercial Banking,Custom,Mainframe Integration Service,Integration,z/OS Connect,Test,Public Cloud,EU,Commercial Banking Platform Team,Medium,False,Internal,Tolerate,Supported,Medium,Medium,High,393193.73,2016-09-27,2025-05-23,0.955,,ServiceNow
SYS0000068,FIN-AI-NATIVE-00068,Custom Application,BS000268,Regulated Treasury Service 0268,Finance,Custom,AI-Native Application,Custom,v1,Production,On-Prem,US,Finance Platform Team,High,False,Internal,Tolerate,Supported,Medium,Severe,Low,70538.08,2016-03-13,2023-11-26,0.636,DUP000110,Archer
SYS0000069,COM-ORACLE-00069,Database,BS000659,Global Billing Service 0659,Commercial Banking,Oracle,Oracle Database,Database,12c,DR,Private Cloud,UK,Commercial Banking Platform Team,Medium,False,Restricted,Strategic,Supported,Low,Severe,Medium,258367.35,2024-06-20,2024-01-06,0.194,,ServiceNow
SYS0000070,WEA-LEGACY-00070,Application,BS000152,Shared Claims Service 0152,Wealth,Custom,Legacy Java Application,Custom,Java 11,Production,Private Cloud,EU,Wealth Platform Team,Medium,True,Restricted,Strategic,Supported,Critical,Low,Medium,421464.76,2013-05-03,2023-12-23,0.896,,ServiceNow
SYS0000071,M&A-KAFKA-00071,Middleware,BS000340,Operational Fulfilment Service 0340,M&A Office,Open Source,Kafka,Integration,3.4,Production,Private Cloud,EU,M&A Office Platform Team,Medium,False,Internal,Invest,Extended Support,Medium,Medium,High,176315.03,2013-01-20,2026-01-13,0.607,DUP000157,Archer
SYS0000072,DAT-VSPHERE-00072,Platform,BS000603,Critical Portal Service 0603,Data & Analytics,VMware,vSphere,Virtualisation,6.7,Development,Hybrid,UK,Data & Analytics Platform Team,Low,False,Confidential,Migrate,Extended Support,High,Severe,Low,8887.56,2014-02-23,2023-05-01,0.712,,EA Repository
SYS0000073,SEC-WINDOWS-00073,Platform,BS000210,Global Data Service 0210,Security,Microsoft,Windows Server,Operating System,2019,Production,Private Cloud,EU,Security Platform Team,Medium,False,Confidential,Strategic,Supported,High,Low,High,184845.39,2013-05-07,2023-03-25,0.817,,BMC
SYS0000074,CUS-MQ-00074,Middleware,BS000490,Regional Billing Service 0490,Customer Operations,IBM,MQ,Integration,9.2,Production,Public Cloud,Global,Customer Operations Platform Team,Medium,False,Internal,Retire,Vendor Announced EOL,High,Low,Low,140766.93,2025-07-17,2025-09-14,0.249,,ServiceNow
SYS0000075,WEA-SQL-00075,Database,BS000566,Regulated Data Service 0566,Wealth,Microsoft,SQL Server,Database,2016,Development,Public Cloud,EU,Wealth Platform Team,Low,False,Internal,Migrate,Vendor Announced EOL,Low,Medium,Low,130494.54,2012-06-05,2025-04-01,0.647,,Archer
SYS0000076,SUP-S4HANA-00076,ERP Module,BS000235,Operational Policy Service 0235,Supply Chain,SAP,S/4HANA,ERP,2021,Production,Public Cloud,EU,Supply Chain Platform Team,High,False,Confidential,Tolerate,Supported,Medium,Low,Low,332751.37,2020-11-27,2023-03-10,0.83,,ServiceNow
SYS0000077,SEC-WEBSPHERE-00077,Middleware,BS000645,Digital Procurement Service 0645,Security,IBM,WebSphere Application Server,Middleware,Liberty 24,Production,Public Cloud,Global,Security Platform Team,High,False,Internal,Tolerate,Vendor Announced EOL,Medium,Low,High,209226.47,2020-02-16,2026-05-24,0.453,,ServiceNow
SYS0000078,COM-TIVOLI-00078,Application,BS000322,Customer Claims Service 0322,Commercial Banking,IBM,Tivoli / Spectrum Protect,Operations,8.1.21,DR,On-Prem,APAC,Commercial Banking Platform Team,Medium,True,Public,Retire,Extended Support,Medium,Medium,Low,675665.71,2009-10-18,2024-12-12,0.8,,Excel Upload
SYS0000079,HR-LEGACY-00079,Application,BS000214,Regional Trading Service 0214,HR,Custom,Legacy Java Application,Custom,Java 8,Development,On-Prem,Global,HR Platform Team,High,False,Internal,Retire,Extended Support,High,Medium,High,186835.34,2016-02-17,2024-10-24,0.611,,ServiceNow
SYS0000080,RIS-VSPHERE-00080,Platform,BS000163,Critical Risk Service 0163,Risk,VMware,vSphere,Virtualisation,7.0,Development,On-Prem,LATAM,Risk Platform Team,Medium,False,Confidential,Tolerate,Supported,Medium,Medium,Medium,511668.12,2022-12-01,2024-02-19,0.71,,Excel Upload
SYS0000081,CUS-COGNOS-00081,Application,BS000192,Critical Data Service 0192,Customer Operations,IBM,Cognos Analytics,Analytics,10.2,Production,Hybrid,UK,Customer Operations Platform Team,Low,True,Internal,Migrate,Supported,Medium,High,Low,113867.81,2020-06-15,2025-04-25,0.813,,SAM Tool
SYS0000082,SUP-COGNOS-00082,Application,BS000406,Global Risk Service 0406,Supply Chain,IBM,Cognos Analytics,Analytics,11.1,Development,Hybrid,EU,Supply Chain Platform Team,Medium,True,Internal,Retire,Unsupported,Medium,Medium,Medium,45909.04,2015-04-22,2024-11-12,0.933,,ServiceNow
SYS0000083,RIS-S4HANA-00083,ERP Module,BS000163,Critical Risk Service 0163,Risk,SAP,S/4HANA,ERP,2022,Pre-Production,Hybrid,LATAM,Risk Platform Team,Medium,False,Internal,Migrate,Unsupported,Medium,Medium,Low,190140.33,2015-10-11,2024-08-19,0.332,,Excel Upload
SYS0000084,INS-POSTGRESQL-00084,Database,BS000259,Core Policy Service 0259,Insurance,Open Source,PostgreSQL,Database,12,Test,On-Prem,UK,Insurance Platform Team,Medium,False,Internal,Invest,Supported,Medium,Low,Low,136750.46,2021-12-12,2025-04-28,0.773,,ServiceNow
SYS0000085,DAT-RHEL-00085,Platform,BS000512,Customer Payments Service 0512,Data & Analytics,Red Hat,RHEL,Operating System,7,Production,Mainframe,EU,Data & Analytics Platform Team,Critical,True,Confidential,Tolerate,Supported,High,Medium,Medium,88792.11,2024-07-30,2023-05-19,0.741,,ServiceNow
SYS0000086,DAT-ECC-00086,ERP Module,BS000631,Core Fulfilment Service 0631,Data & Analytics,SAP,ECC,ERP,EHP7,Production,Hybrid,APAC,Data & Analytics Platform Team,Medium,False,Confidential,Tolerate,Extended Support,High,High,Medium,157838.94,2025-09-19,2025-10-22,0.357,,ServiceNow
SYS0000087,SEC-FILENET-00087,Application,BS000489,Core Ledger Service 0489,Security,IBM,FileNet,Content,5.5.8,Production,On-Prem,EU,Security Platform Team,Medium,False,Restricted,Migrate,Supported,Medium,High,Medium,12457.49,2018-01-03,2023-09-23,0.834,,ServiceNow
SYS0000088,RET-WEBSPHERE-00088,Middleware,BS000381,Core Portal Service 0381,Retail Banking,IBM,WebSphere Application Server,Middleware,9.0.5,DR,Private Cloud,EU,Retail Banking Platform Team,Low,False,Confidential,Tolerate,Extended Support,Medium,High,Low,28048.36,2025-09-27,2026-05-13,0.526,,BMC
SYS0000089,DIG-ECC-00089,ERP Module,BS000502,Digital Portal Service 0502,Digital Channels,SAP,ECC,ERP,EHP8,Pre-Production,Mainframe,US,Digital Channels Platform Team,Critical,False,Confidential,Migrate,Supported,High,Medium,Low,123351.3,2009-03-10,2024-11-30,0.561,,ServiceNow
SYS0000090,INF-OPENSHIFT-00090,Platform,BS000297,Operational Claims Service 0297,Infrastructure,Red Hat,OpenShift,Container,4.14,Pre-Production,Private Cloud,EU,Infrastructure Platform Team,Low,False,Confidential,Invest,Supported,High,Medium,Low,12820.75,2009-03-09,2026-02-11,0.817,,ServiceNow
