signal_id,signal_date,signal_type,vendor,product,market_theme,description,severity,likelihood,time_horizon_months,mapped_system_count,estimated_cost_impact_eur,recommended_watch_action,confidence
SIG00000019,2026-01-23,Talent Scarcity,VMware,vCenter,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,4,0.241,56,148,39185144.31,Validate controls,0.786
SIG00000020,2025-12-18,Threat Trend,IBM,AIX,Threat Trend,Threat activity is increasing against related technology patterns.,5,0.756,35,142,2063235.02,Validate controls,0.468
SIG00000021,2024-05-17,Regulatory Change,SAP,PI/PO,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,1,0.469,31,102,1025117.22,Assess replacement option,0.824
SIG00000022,2025-05-10,Talent Scarcity,Broadcom,CA Identity Manager,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,1,0.576,39,85,947048.45,Model scenario,0.572
SIG00000023,2025-01-10,Regulatory Change,Open Source,Kubernetes,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.458,32,141,12897879.09,Monitor,0.477
SIG00000024,2025-04-06,Quantum Crypto Horizon,Oracle,WebLogic,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,4,0.475,33,345,14298398.52,Model scenario,0.77
SIG00000025,2025-12-01,Regulatory Change,SAP,ECC,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.41,47,87,3747126.64,Model scenario,0.561
SIG00000026,2026-06-24,Regulatory Change,IBM,WebSphere Application Server,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,2,0.339,25,356,12817057.36,Monitor,0.572
SIG00000027,2025-02-19,Vendor Consolidation,SAP,S/4HANA,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",1,0.498,32,70,698191.73,Escalate to board pack,0.861
SIG00000028,2025-12-20,Talent Scarcity,SAP,PI/PO,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,5,0.54,51,215,15544539.08,Monitor,0.867
SIG00000029,2024-12-27,Vendor Consolidation,Red Hat,RHEL,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.63,48,247,13727705.08,Validate controls,0.778
SIG00000030,2025-10-07,Regulatory Change,VMware,vCenter,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.312,56,239,7961863.42,Prepare negotiation,0.772
SIG00000031,2024-02-16,Ecosystem Decline,Microsoft,SQL Server,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,5,0.583,38,408,28906365.38,Monitor,0.482
SIG00000032,2024-06-12,Open Source Alternative,SAP,ECC,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.615,12,525,34014732.06,Assess replacement option,0.827
SIG00000033,2025-09-05,Pricing Shock,Custom,Legacy Java Application,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,3,0.455,56,387,9785526.05,Validate controls,0.639
SIG00000034,2026-02-23,Pricing Shock,IBM,WebSphere Application Server,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,1,0.791,34,129,580318.37,Prepare negotiation,0.471
SIG00000035,2025-12-17,Threat Trend,Microsoft,SQL Server,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.489,56,229,2282660.65,Model scenario,0.53
SIG00000036,2026-05-30,Threat Trend,IBM,Db2,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.52,7,425,2445241.6,Model scenario,0.86
SIG00000037,2026-05-05,Regulatory Change,Red Hat,RHEL,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.503,44,325,14139965.55,Monitor,0.369
SIG00000038,2026-06-16,Open Source Alternative,Oracle,WebLogic,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,1,0.559,60,238,2304654.11,Monitor,0.741
SIG00000039,2026-02-10,Threat Trend,SAP,ECC,Threat Trend,Threat activity is increasing against related technology patterns.,4,0.213,51,226,47023622.27,Assess replacement option,0.851
SIG00000040,2026-06-17,Pricing Shock,Open Source,Kafka,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,5,0.14,11,133,20263071.48,Assess replacement option,0.564
SIG00000041,2025-06-12,Talent Scarcity,IBM,AIX,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,2,0.516,13,345,6967919.46,Monitor,0.91
SIG00000042,2024-10-18,Ecosystem Decline,IBM,Db2,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,4,0.95,4,529,6889303.22,Validate controls,0.843
SIG00000043,2024-05-05,Pricing Shock,IBM,FileNet,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,2,0.504,33,343,6417818.59,Monitor,0.628
SIG00000044,2025-09-22,Regulatory Change,IBM,MQ,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,2,0.657,42,310,4286391.56,Validate controls,0.776
SIG00000045,2024-11-16,Pricing Shock,IBM,MQ,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,4,0.73,24,271,78019560.9,Assess replacement option,0.946
SIG00000046,2025-07-20,Threat Trend,SAP,BusinessObjects,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.355,37,125,1158469.88,Model scenario,0.493
SIG00000047,2024-03-29,Talent Scarcity,SAP,BusinessObjects,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,3,0.685,53,78,1774978.82,Escalate to board pack,0.58
SIG00000048,2024-09-04,Threat Trend,SAP,BusinessObjects,Threat Trend,Threat activity is increasing against related technology patterns.,4,0.635,5,146,70404708.68,Assess replacement option,0.927
SIG00000049,2026-02-01,Open Source Alternative,IBM,WebSphere Application Server,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,3,0.644,41,617,15184620.72,Monitor,0.919
SIG00000050,2025-01-11,Vendor Consolidation,IBM,Db2,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",3,0.757,57,636,34306345.79,Assess replacement option,0.661
SIG00000051,2025-05-31,Talent Scarcity,VMware,vCenter,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,1,0.45,34,462,4178958.63,Assess replacement option,0.801
SIG00000052,2024-09-24,AI-Native Shift,Custom,Mainframe Integration Service,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,1,0.62,16,237,1453465.22,Model scenario,0.842
SIG00000053,2025-12-06,Ecosystem Decline,IBM,MQ,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,5,0.409,5,250,50948644.5,Model scenario,0.705
SIG00000054,2025-06-15,Vendor Consolidation,IBM,Tivoli / Spectrum Protect,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",1,0.651,39,231,2874922.46,Validate controls,0.833
SIG00000055,2025-10-31,Pricing Shock,VMware,vCenter,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,3,0.614,52,416,83829057.06,Model scenario,0.9
SIG00000056,2026-05-19,AI-Native Shift,IBM,Cognos Analytics,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,2,0.671,25,328,4555569.38,Assess replacement option,0.409
SIG00000057,2024-05-29,Open Source Alternative,IBM,MQ,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.192,7,200,17364909.11,Validate controls,0.649
SIG00000058,2026-05-13,Regulatory Change,IBM,Cognos Analytics,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.52,39,408,19855202.02,Validate controls,0.583
SIG00000059,2024-01-13,Vendor Consolidation,Custom,Mainframe Integration Service,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",2,0.778,37,210,36629713.47,Assess replacement option,0.759
SIG00000060,2026-05-16,Talent Scarcity,IBM,Cognos Analytics,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,4,0.444,12,248,9152569.08,Validate controls,0.431
SIG00000061,2025-09-16,Ecosystem Decline,Microsoft,Windows Server,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,4,0.841,13,521,23951603.48,Prepare negotiation,0.787
SIG00000062,2026-02-19,Regulatory Change,Open Source,PostgreSQL,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,3,0.677,48,328,38417021.68,Prepare negotiation,0.577
SIG00000063,2025-04-23,Open Source Alternative,VMware,NSX,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,1,0.683,27,105,862217.98,Prepare negotiation,0.783
SIG00000064,2026-03-12,Ecosystem Decline,VMware,vSphere,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,5,0.618,42,106,9882697.35,Validate controls,0.842
SIG00000065,2024-09-21,Threat Trend,IBM,FileNet,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.569,8,217,8148709.01,Assess replacement option,0.653
SIG00000066,2025-03-23,Quantum Crypto Horizon,VMware,vSphere,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,2,0.398,48,336,3834281.53,Prepare negotiation,0.724
SIG00000067,2024-12-25,Vendor Consolidation,Microsoft,Windows Server,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",3,0.743,50,657,23518641.68,Model scenario,0.449
SIG00000068,2024-09-06,Threat Trend,IBM,Cognos Analytics,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.363,7,315,9898138.53,Assess replacement option,0.751
SIG00000069,2024-01-07,Threat Trend,SAP,PI/PO,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.244,20,55,1964642.6,Model scenario,0.834
SIG00000070,2026-05-19,Ecosystem Decline,SAP,ECC,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,3,0.794,58,456,4363935.91,Monitor,0.931
SIG00000071,2024-05-11,Threat Trend,Broadcom,CA Identity Manager,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.634,51,166,3835755.81,Model scenario,0.876
SIG00000072,2024-05-12,Talent Scarcity,IBM,Tivoli / Spectrum Protect,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,3,0.518,52,293,2719214.19,Monitor,0.687
SIG00000073,2024-06-23,AI-Native Shift,Red Hat,OpenShift,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,5,0.498,5,79,2548108.58,Validate controls,0.785
SIG00000074,2025-05-19,Vendor Consolidation,VMware,vCenter,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.687,30,239,28005670.8,Monitor,0.413
SIG00000075,2025-09-28,Pricing Shock,VMware,NSX,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,1,0.59,37,45,1356995.6,Validate controls,0.633
SIG00000076,2025-07-26,Threat Trend,Red Hat,OpenShift,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.776,18,248,5167491.16,Model scenario,0.673
SIG00000077,2024-02-10,Vendor Consolidation,Open Source,Kubernetes,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",2,0.779,32,62,1036599.15,Escalate to board pack,0.847
SIG00000078,2024-06-14,Open Source Alternative,Red Hat,RHEL,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,1,0.714,4,92,796345.24,Escalate to board pack,0.283
SIG00000079,2026-06-25,Talent Scarcity,IBM,MQ,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,4,0.323,44,152,16593773.08,Validate controls,0.792
SIG00000080,2026-04-19,Threat Trend,Oracle,WebLogic,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.754,7,88,533544.7,Model scenario,0.491
SIG00000081,2024-06-16,Quantum Crypto Horizon,Custom,AI-Native Application,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,2,0.637,10,107,6338791.68,Validate controls,0.472
SIG00000082,2026-06-14,Vendor Consolidation,Broadcom,CA Identity Manager,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",1,0.676,30,56,1098394.47,Model scenario,0.847
SIG00000083,2024-07-22,Pricing Shock,Custom,Legacy Java Application,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,2,0.523,41,468,27934368.3,Monitor,0.733
SIG00000084,2025-09-11,AI-Native Shift,IBM,WebSphere Application Server,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,3,0.766,26,341,21233003.21,Escalate to board pack,0.702
SIG00000085,2025-11-08,AI-Native Shift,Custom,Legacy Java Application,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,2,0.526,37,451,10050112.82,Monitor,0.935
SIG00000086,2025-11-16,Threat Trend,Open Source,Kubernetes,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.54,46,212,4114509.52,Prepare negotiation,0.391
SIG00000087,2025-08-15,Talent Scarcity,Open Source,Kubernetes,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,5,0.804,25,181,5267722.35,Escalate to board pack,0.54
SIG00000088,2024-05-18,Pricing Shock,Open Source,Kubernetes,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,5,0.314,52,105,2270174.13,Monitor,0.785
SIG00000089,2025-10-25,Regulatory Change,VMware,vCenter,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,3,0.661,60,242,11035890.46,Model scenario,0.806
SIG00000090,2024-11-02,Open Source Alternative,Custom,Mainframe Integration Service,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,2,0.497,32,206,3132686.2,Escalate to board pack,0.507
SIG00000091,2026-02-26,Talent Scarcity,IBM,WebSphere Application Server,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,2,0.368,35,541,975828.09,Validate controls,0.429
SIG00000092,2025-09-29,Regulatory Change,IBM,Tivoli / Spectrum Protect,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,2,0.623,32,261,4498421.33,Prepare negotiation,0.567
SIG00000093,2025-06-22,Open Source Alternative,Open Source,Kubernetes,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.7,21,223,6943579.24,Model scenario,0.869
SIG00000094,2024-07-02,Talent Scarcity,SAP,PI/PO,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,5,0.443,57,164,3573508.15,Model scenario,0.944
SIG00000095,2024-10-03,Threat Trend,IBM,AIX,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.821,25,67,965075.82,Monitor,0.754
SIG00000096,2024-06-24,Threat Trend,SAP,ECC,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.77,45,171,1752797.75,Assess replacement option,0.774
SIG00000097,2024-01-28,Threat Trend,IBM,AIX,Threat Trend,Threat activity is increasing against related technology patterns.,5,0.73,31,235,8051689.58,Model scenario,0.458
SIG00000098,2025-04-25,Ecosystem Decline,Microsoft,Windows Server,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,3,0.687,31,271,18986128.45,Validate controls,0.802
SIG00000099,2025-12-04,Vendor Consolidation,Custom,Mainframe Integration Service,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",3,0.566,60,225,10411568.32,Monitor,0.607
SIG00000100,2024-07-10,Threat Trend,Custom,Legacy Java Application,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.613,50,469,6581288.57,Validate controls,0.593
SIG00000101,2026-01-10,Threat Trend,IBM,Tivoli / Spectrum Protect,Threat Trend,Threat activity is increasing against related technology patterns.,4,0.776,46,188,9442987.1,Monitor,0.839
SIG00000102,2024-03-22,Ecosystem Decline,Open Source,PostgreSQL,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,3,0.433,44,296,3839850.32,Monitor,0.834
SIG00000103,2025-11-12,AI-Native Shift,Custom,AI-Native Application,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,4,0.601,27,185,29035479.82,Model scenario,0.531
SIG00000104,2025-04-12,Threat Trend,VMware,vCenter,Threat Trend,Threat activity is increasing against related technology patterns.,5,0.594,21,229,4674364.94,Prepare negotiation,0.842
SIG00000105,2024-07-19,Regulatory Change,VMware,NSX,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,2,0.496,11,185,1644591.22,Validate controls,0.952
SIG00000106,2026-01-25,Ecosystem Decline,Microsoft,Windows Server,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,1,0.615,29,126,3059523.77,Assess replacement option,0.723
SIG00000107,2025-05-31,Vendor Consolidation,IBM,MQ,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.228,45,279,22991203.9,Assess replacement option,0.298
SIG00000108,2024-01-28,Vendor Consolidation,Custom,Legacy Java Application,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",3,0.906,56,83,654267.13,Assess replacement option,0.981
SIG00000109,2025-09-30,Quantum Crypto Horizon,Broadcom,CA Identity Manager,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,4,0.4,27,112,2818094.84,Prepare negotiation,0.595
SIG00000110,2026-06-16,Open Source Alternative,IBM,MQ,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,3,0.514,16,194,16418999.89,Monitor,0.76
SIG00000111,2025-08-16,Regulatory Change,Red Hat,RHEL,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.561,15,295,9419537.22,Assess replacement option,0.841
SIG00000112,2024-08-23,Pricing Shock,IBM,Cognos Analytics,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,5,0.418,58,263,7363842.45,Model scenario,0.823
SIG00000113,2026-01-15,Ecosystem Decline,SAP,HANA,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,2,0.221,6,422,6063484.59,Monitor,0.571
SIG00000114,2025-11-06,Threat Trend,IBM,Db2,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.514,55,317,22417678.77,Validate controls,0.823
SIG00000115,2025-07-26,Talent Scarcity,Custom,Mainframe Integration Service,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,5,0.146,17,73,1336996.15,Model scenario,0.97
SIG00000116,2024-05-28,Regulatory Change,IBM,WebSphere Application Server,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.505,29,239,5390134.52,Monitor,0.983
SIG00000117,2024-04-12,Threat Trend,SAP,HANA,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.496,25,125,3350024.01,Monitor,0.639
SIG00000118,2026-05-09,Talent Scarcity,SAP,S/4HANA,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,5,0.454,40,87,2875898.4,Escalate to board pack,0.539
SIG00000119,2024-02-21,Open Source Alternative,Oracle,Oracle Database,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.758,47,272,35147991.18,Prepare negotiation,0.786
SIG00000120,2025-07-15,Ecosystem Decline,Red Hat,RHEL,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,3,0.896,38,480,140336720.33,Escalate to board pack,0.821
SIG00000121,2025-08-30,AI-Native Shift,VMware,vSphere,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,3,0.312,6,264,12356752.75,Prepare negotiation,0.344
SIG00000122,2024-04-19,Pricing Shock,IBM,Tivoli / Spectrum Protect,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,3,0.902,49,206,15131465.64,Prepare negotiation,0.257
SIG00000123,2026-04-08,Pricing Shock,IBM,AIX,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,5,0.385,4,253,16798993.75,Validate controls,0.817
SIG00000124,2026-03-11,Ecosystem Decline,Oracle,WebLogic,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,1,0.346,57,62,683489.81,Monitor,0.831
SIG00000125,2025-08-17,Vendor Consolidation,IBM,Db2,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",4,0.973,57,540,24491729.34,Prepare negotiation,0.858
SIG00000126,2024-12-02,Threat Trend,Oracle,WebLogic,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.495,57,183,12289427.33,Validate controls,0.645
SIG00000127,2026-06-22,Threat Trend,Red Hat,RHEL,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.844,29,259,5596218.94,Assess replacement option,0.826
SIG00000128,2025-09-30,Ecosystem Decline,SAP,S/4HANA,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,3,0.541,12,123,5969623.41,Monitor,0.821
SIG00000129,2025-03-08,Pricing Shock,IBM,FileNet,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,1,0.657,49,300,5814293.31,Validate controls,0.719
SIG00000130,2024-05-15,Talent Scarcity,VMware,vCenter,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,3,0.253,12,407,8649689.07,Escalate to board pack,0.622
SIG00000131,2025-06-02,Vendor Consolidation,Custom,Legacy Java Application,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",3,0.4,17,92,7422585.39,Monitor,0.69
SIG00000132,2024-04-19,Ecosystem Decline,Microsoft,SQL Server,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,3,0.529,58,332,5277100.34,Monitor,0.82
SIG00000133,2025-06-10,Threat Trend,SAP,BusinessObjects,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.548,17,76,914839.34,Prepare negotiation,0.721
SIG00000134,2025-12-04,Open Source Alternative,Microsoft,Windows Server,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.787,14,640,19110930.05,Model scenario,0.503
SIG00000135,2024-05-03,Pricing Shock,VMware,vCenter,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,2,0.588,55,192,8795883.99,Monitor,0.796
SIG00000136,2024-12-31,Regulatory Change,Custom,Mainframe Integration Service,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,3,0.569,55,109,13240946.03,Assess replacement option,0.621
SIG00000137,2024-12-11,Quantum Crypto Horizon,SAP,ECC,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,1,0.766,27,494,12003269.54,Model scenario,0.278
SIG00000138,2025-04-25,Pricing Shock,SAP,PI/PO,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,3,0.931,10,101,2236903.54,Assess replacement option,0.515
SIG00000139,2025-11-07,Vendor Consolidation,Custom,Legacy Java Application,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",2,0.392,15,215,18664831.66,Assess replacement option,0.508
SIG00000140,2024-06-11,Regulatory Change,SAP,ECC,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.71,50,545,25755817.05,Validate controls,0.809
SIG00000141,2024-07-16,Threat Trend,IBM,Cognos Analytics,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.346,10,73,399329.38,Model scenario,0.947
SIG00000142,2025-06-02,Regulatory Change,Microsoft,Windows Server,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,3,0.497,51,278,20500326.12,Monitor,0.946
SIG00000143,2025-01-08,Ecosystem Decline,IBM,AIX,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,1,0.713,32,327,4925825.0,Assess replacement option,0.766
SIG00000144,2025-02-15,Pricing Shock,VMware,vSphere,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,2,0.401,20,499,53418481.79,Monitor,0.806
SIG00000145,2025-09-17,Ecosystem Decline,Custom,AI-Native Application,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,5,0.81,22,265,4999037.23,Monitor,0.827
SIG00000146,2026-04-28,Ecosystem Decline,Open Source,Kubernetes,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,1,0.845,9,76,2353723.92,Validate controls,0.793
SIG00000147,2024-11-05,Ecosystem Decline,Open Source,Kafka,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,5,0.594,17,174,5501781.81,Monitor,0.915
SIG00000148,2025-10-05,Vendor Consolidation,Custom,AI-Native Application,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.607,32,174,12794266.43,Escalate to board pack,0.627
SIG00000149,2024-03-02,Vendor Consolidation,SAP,BusinessObjects,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",3,0.655,60,63,1703093.09,Validate controls,0.91
SIG00000150,2025-05-24,Pricing Shock,Microsoft,SQL Server,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,4,0.679,25,550,10380693.64,Monitor,0.826
SIG00000151,2024-08-11,AI-Native Shift,Red Hat,OpenShift,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,2,0.574,10,55,3059721.58,Monitor,0.766
